 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34
3647,615.514,1668.934,1162.401,1922.917,1437.282,1260.560,1340.314,1379.886,1283.940,1143.934,3003.526,1488.241,1541.551,1611.355,2085.902,2281.866,2550.886,1631.107,1577.591,1457.718,1543.342,1856.415,1613.200,1329.681,1301.491,1193.474,1339.355,2422.708,3525.614,2692.760,3663.142,1059.651,957.478,2835.541
3648,608.176,1667.061,1159.390,1912.219,1436.185,1251.625,1339.584,1376.896,1277.905,1137.633,3002.614,1490.392,1530.528,1618.300,2077.818,2279.281,2533.687,1625.791,1577.197,1452.904,1536.584,1843.943,1611.953,1326.029,1299.469,1189.848,1331.719,2412.933,3517.831,2666.832,3679.102,1060.367,958.762,2830.935
3649,612.263,1663.285,1155.231,1915.350,1434.509,1247.970,1334.885,1376.745,1270.940,1148.020,3005.715,1482.709,1526.108,1606.347,2085.666,2281.947,2549.104,1617.422,1570.038,1449.942,1542.965,1848.040,1596.172,1329.939,1299.388,1186.306,1331.430,2425.301,3534.992,2667.795,3669.483,1064.493,957.455,2829.003
3650,613.320,1667.750,1158.972,1909.253,1433.568,1257.834,1336.009,1368.643,1275.198,1158.879,3002.126,1484.022,1533.984,1613.664,2074.412,2282.158,2545.348,1627.629,1574.857,1458.558,1542.559,1851.968,1594.799,1326.920,1298.199,1187.776,1338.747,2411.688,3514.919,2672.636,3658.669,1057.096,958.509,2834.202
3651,614.397,1667.532,1161.916,1912.653,1439.725,1252.101,1331.507,1379.584,1275.908,1141.701,3007.053,1481.977,1533.901,1607.455,2084.311,2277.389,2541.895,1610.753,1569.859,1453.694,1536.416,1860.037,1591.390,1323.779,1307.312,1189.398,1327.540,2418.729,3526.881,2687.014,3682.469,1057.719,962.937,2824.615
3652,618.213,1667.174,1158.427,1910.531,1440.924,1252.179,1338.252,1372.592,1283.686,1139.020,3003.981,1485.930,1536.821,1620.988,2098.159,2273.466,2539.713,1632.812,1573.806,1461.781,1533.877,1849.275,1580.109,1324.152,1299.309,1185.844,1345.875,2413.747,3528.483,2671.889,3659.830,1060.438,957.039,2841.695
3653,612.553,1664.918,1160.138,1914.551,1428.974,1254.295,1331.653,1375.780,1267.994,1141.943,2999.779,1485.427,1545.307,1617.303,2085.761,2279.573,2533.363,1623.992,1568.266,1454.408,1533.856,1849.026,1577.868,1326.014,1300.533,1189.006,1334.043,2423.607,3516.032,2671.346,3661.793,1057.836,962.141,2818.454
3654,606.166,1665.476,1158.244,1900.094,1433.633,1249.512,1333.414,1371.842,1271.519,1139.744,3006.113,1487.436,1530.401,1613.591,2097.222,2272.333,2536.327,1624.729,1559.795,1452.922,1530.120,1849.589,1567.269,1332.095,1304.679,1183.798,1335.363,2433.114,3523.527,2665.074,3681.630,1058.924,960.253,2826.517
3655,616.008,1670.882,1160.203,1919.901,1440.855,1248.284,1336.957,1378.943,1276.504,1157.270,3007.372,1482.129,1535.629,1634.253,2094.139,2273.332,2545.009,1631.878,1579.911,1461.253,1539.776,1866.906,1575.041,1323.644,1305.879,1194.730,1333.040,2426.984,3506.487,2697.351,3679.793,1063.632,964.360,2824.558
3656,606.377,1665.284,1158.531,1906.993,1433.113,1244.109,1330.675,1366.844,1271.731,1145.275,2997.501,1487.392,1539.288,1622.260,2085.059,2265.371,2530.850,1629.482,1569.424,1461.332,1542.990,1853.622,1557.291,1327.739,1307.960,1186.012,1327.309,2408.618,3512.678,2646.331,3679.937,1056.626,956.173,2826.083
