 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42
4910,668.718,1761.453,1632.973,1200.600,3359.596,2869.808,2321.728,1378.793,1964.033,1616.015,1307.520,1427.260,1116.194,1299.889,1504.274,2393.505,2583.365,2385.906,1904.593,1624.706,1421.919,1298.422,1688.430,3136.298,1602.802,1945.115,1881.412,1753.834,1467.695,1089.263,1157.054,1197.020,1105.261,1066.883,1244.125,1015.397,938.166,1075.609,914.457,1174.512,4463.553,1784.911
4911,662.459,1767.385,1634.195,1198.450,3366.897,2875.012,2313.798,1379.102,1961.099,1615.315,1317.254,1429.735,1117.486,1302.656,1504.776,2377.446,2591.028,2378.664,1915.398,1629.128,1421.717,1298.824,1699.523,3137.727,1626.423,1962.399,1888.064,1755.366,1471.223,1089.356,1160.139,1201.901,1115.667,1066.759,1250.159,1009.058,933.956,1082.054,914.497,1181.903,4428.496,1788.373
4912,659.309,1759.032,1634.167,1194.892,3370.691,2870.735,2311.214,1370.045,1955.988,1613.492,1301.310,1426.255,1110.158,1299.045,1497.603,2378.717,2573.471,2369.872,1912.432,1618.987,1422.321,1299.041,1695.264,3128.879,1629.743,1956.481,1885.068,1742.969,1463.953,1084.977,1152.300,1197.520,1104.726,1064.319,1254.205,1008.938,932.305,1079.081,911.093,1174.875,4496.494,1790.742
4913,666.793,1757.709,1628.721,1197.561,3369.683,2872.839,2311.711,1377.519,1960.631,1612.457,1307.394,1425.195,1110.143,1299.321,1500.550,2353.579,2581.039,2390.809,1923.597,1629.233,1418.739,1302.264,1696.030,3133.620,1637.881,1954.157,1884.725,1747.635,1472.722,1090.514,1161.829,1184.527,1110.745,1057.241,1247.825,1009.292,938.083,1081.687,912.120,1183.712,4504.783,1788.403
4914,664.928,1756.139,1630.920,1197.453,3382.676,2874.501,2316.039,1376.399,1968.015,1623.489,1310.410,1426.843,1112.460,1302.520,1505.475,2369.269,2597.209,2381.010,1927.498,1626.353,1426.738,1297.336,1692.517,3124.111,1638.863,1955.183,1885.694,1753.424,1474.274,1087.577,1151.961,1197.990,1111.511,1071.800,1253.548,1013.091,936.795,1087.442,913.941,1185.361,4512.820,1788.820
4915,662.767,1764.521,1625.755,1192.617,3379.474,2872.787,2312.745,1373.336,1955.365,1613.921,1303.044,1425.120,1112.498,1298.749,1500.383,2360.135,2603.568,2384.612,1916.044,1624.551,1414.227,1303.742,1701.601,3126.245,1649.754,1957.027,1883.717,1742.201,1467.077,1090.354,1153.729,1192.451,1110.124,1072.788,1255.306,1014.000,936.614,1083.076,912.588,1181.808,4473.791,1789.431
4916,656.445,1759.182,1624.314,1193.885,3377.746,2863.208,2304.093,1370.958,1952.295,1608.243,1300.231,1426.714,1108.316,1294.546,1489.682,2374.323,2611.069,2367.135,1918.325,1608.825,1411.741,1291.418,1690.811,3126.474,1657.453,1952.916,1878.880,1744.054,1466.363,1087.747,1150.850,1194.614,1105.938,1067.548,1262.515,1000.893,936.161,1086.179,906.605,1169.569,4483.799,1795.526
4917,662.034,1758.508,1624.996,1193.028,3391.437,2870.914,2311.684,1374.510,1960.780,1623.107,1303.057,1428.693,1112.922,1299.862,1493.486,2359.250,2624.841,2374.084,1936.465,1620.202,1419.290,1296.013,1700.820,3106.971,1655.621,1950.798,1879.727,1737.462,1465.137,1094.283,1149.367,1199.343,1110.600,1068.877,1261.695,1007.883,933.361,1083.938,911.182,1174.686,4491.600,1792.538
4918,667.148,1761.366,1621.834,1200.753,3410.682,2875.781,2314.704,1375.513,1976.454,1623.740,1305.286,1430.862,1111.360,1298.449,1495.161,2333.212,2650.720,2365.003,1946.533,1620.719,1425.276,1301.838,1689.624,3119.809,1664.171,1958.239,1893.347,1743.505,1467.250,1096.410,1159.749,1200.586,1113.673,1074.416,1271.934,1016.571,939.553,1080.087,914.496,1179.198,4461.397,1796.862
4919,666.477,1752.582,1615.436,1196.964,3396.932,2869.073,2321.056,1371.000,1961.120,1623.855,1301.694,1427.560,1112.509,1292.430,1489.540,2321.687,2668.591,2364.477,1946.977,1616.718,1423.195,1305.670,1697.613,3104.982,1664.076,1942.898,1890.803,1739.461,1471.393,1091.192,1152.978,1194.823,1106.547,1072.148,1274.299,1006.478,935.250,1086.716,908.487,1181.262,4473.133,1796.616
