 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59,Mean60,Mean61,Mean62,Mean63,Mean64
4491,1067.204,3607.681,4521.839,3974.885,2174.167,3812.952,4710.646,3172.715,4384.369,5773.764,4539.620,4959.907,5095.646,5639.660,3220.401,2911.000,3086.960,3063.079,2701.043,4264.646,3668.404,9905.591,6477.077,3105.156,6426.495,5427.292,5000.305,7642.988,6286.907,2920.702,2993.772,2758.093,3800.378,4174.937,3839.606,5093.714,5658.048,3765.808,3445.922,4673.735,3776.037,2999.523,3608.068,2976.984,3029.513,5669.684,3359.168,3491.122,4202.644,3368.922,3116.787,4631.553,4306.646,8627.050,3223.098,2566.437,3534.708,6751.906,3100.390,3266.253,2943.341,2583.422,6224.048,6103.121
4492,1055.315,3641.817,4587.218,3991.873,2156.441,3763.038,4824.086,3159.983,4396.341,5705.955,4447.450,4997.550,5167.031,5689.160,3134.368,2940.010,3106.672,3051.150,2658.074,4235.789,3681.260,9883.735,6473.696,3098.782,6377.531,5418.351,4969.322,7586.878,6213.234,2931.444,2982.192,2770.077,3797.824,4127.806,3843.572,5041.716,5551.617,3773.911,3442.905,4657.864,3787.660,2972.096,3594.281,2923.881,2963.660,5627.980,3355.438,3494.985,4198.052,3376.472,3161.161,4719.154,4387.015,8609.641,3210.380,2548.079,3554.986,6801.167,3094.061,3291.075,2925.674,2526.314,6263.311,6165.935
4493,1055.852,3620.468,4580.560,3969.380,2176.488,3811.530,4789.474,3188.128,4365.843,5727.810,4498.289,4991.229,5132.818,5661.032,3167.938,2914.550,3099.727,3021.916,2691.361,4246.530,3663.864,9878.984,6484.947,3083.055,6382.027,5428.619,5010.622,7560.491,6256.682,2915.146,2978.644,2764.612,3801.988,4091.493,3854.965,5087.716,5653.160,3797.611,3463.871,4656.738,3790.125,2996.899,3604.888,2942.421,3015.916,5670.022,3359.073,3465.026,4205.478,3340.785,3136.257,4651.193,4329.519,8638.971,3233.689,2552.837,3532.292,6790.657,3079.651,3280.192,2948.414,2571.211,6228.571,6122.393
4494,1043.463,3613.678,4585.538,3983.573,2191.225,3812.910,4786.439,3150.091,4372.384,5755.605,4563.538,4992.519,5090.492,5640.314,3211.296,2886.213,3095.169,3034.763,2696.649,4250.677,3659.631,9885.562,6506.080,3066.810,6392.200,5466.717,5003.708,7540.397,6339.355,2929.866,2966.252,2772.264,3812.969,4063.248,3843.496,5074.508,5781.702,3762.611,3448.383,4641.114,3764.556,2999.345,3583.765,2988.099,3027.159,5708.029,3343.270,3483.753,4229.579,3360.972,3110.490,4652.132,4280.354,8716.818,3199.498,2587.072,3505.035,6752.313,3125.733,3248.120,2950.799,2611.749,6168.444,6138.009
4495,1039.278,3604.122,4607.576,3981.664,2176.679,3801.555,4880.640,3160.630,4367.924,5714.929,4521.257,5060.824,5135.625,5691.815,3179.414,2912.662,3087.016,3024.393,2689.555,4229.484,3681.051,9897.085,6505.111,3075.249,6365.985,5462.463,5009.322,7486.018,6284.384,2936.256,2975.089,2754.038,3826.959,4026.716,3843.290,5084.950,5698.868,3823.069,3455.417,4617.075,3775.759,2987.605,3605.785,2948.908,3015.122,5664.152,3356.117,3481.237,4222.788,3345.463,3131.441,4704.476,4327.130,8718.496,3216.476,2563.011,3556.738,6806.708,3117.935,3239.192,2964.824,2562.016,6249.879,6142.635
4496,1064.111,3635.560,4627.071,3974.681,2184.928,3821.755,4916.934,3153.660,4349.058,5688.762,4504.509,5062.372,5116.456,5722.504,3174.254,2913.951,3096.422,3012.258,2661.843,4250.638,3698.374,9921.057,6541.356,3046.442,6345.782,5482.449,5036.073,7441.307,6284.449,2921.129,2966.945,2744.623,3816.293,4019.402,3850.215,5058.584,5662.618,3818.903,3445.775,4640.820,3782.921,2984.154,3584.424,2966.639,2992.403,5669.560,3350.842,3474.249,4195.216,3364.209,3162.835,4690.700,4365.709,8715.086,3197.524,2544.890,3563.003,6849.185,3129.058,3261.833,2946.815,2571.509,6260.219,6174.354
4497,1033.574,3598.099,4621.929,3987.690,2183.591,3787.278,4935.486,3193.276,4320.715,5661.626,4504.960,5065.958,5092.132,5705.867,3190.799,2903.017,3086.611,3007.319,2671.088,4243.299,3674.788,9883.919,6511.959,3076.812,6363.759,5451.041,5001.006,7391.756,6284.359,2916.005,2972.029,2746.177,3804.396,3949.733,3830.321,5090.554,5705.131,3794.148,3464.428,4617.776,3763.652,2993.563,3574.382,2948.291,3013.514,5669.168,3348.487,3480.980,4202.984,3360.323,3132.704,4682.163,4364.363,8743.209,3176.837,2545.385,3534.694,6807.918,3146.088,3249.294,2929.682,2556.858,6247.977,6145.520
4498,1082.852,3605.988,4645.987,3987.304,2192.325,3817.778,4963.324,3212.633,4338.190,5621.887,4543.873,5092.557,5139.073,5769.047,3197.497,2905.385,3091.437,3016.952,2677.239,4233.642,3684.010,9902.505,6557.284,3065.306,6315.764,5494.204,4992.822,7361.293,6305.801,2943.861,2988.564,2761.031,3806.932,3930.496,3839.230,5071.654,5745.788,3818.652,3475.914,4645.873,3744.128,2998.723,3594.988,2942.553,3020.111,5692.896,3375.335,3482.468,4203.353,3380.292,3148.263,4725.207,4374.233,8755.402,3207.969,2552.890,3547.909,6953.669,3151.941,3294.127,2946.288,2593.503,6216.607,6134.517
4499,989.574,3604.001,4630.368,3977.987,2178.920,3816.151,5002.357,3197.604,4347.576,5632.542,4540.598,5139.268,5146.752,5730.313,3200.415,2919.128,3080.163,2982.124,2664.831,4184.882,3670.464,9887.894,6506.178,3056.317,6325.457,5483.062,5000.117,7290.640,6319.717,2913.010,2964.982,2737.360,3819.054,3902.223,3839.217,5090.114,5704.886,3794.475,3468.027,4627.197,3761.622,3011.191,3571.846,2945.435,2971.924,5705.703,3351.784,3469.497,4201.908,3340.192,3128.092,4700.668,4377.770,8747.486,3217.450,2540.268,3548.652,6934.305,3155.883,3311.163,2933.341,2575.166,6233.899,6124.000
4500,1038.259,3601.832,4620.437,3975.031,2191.024,3826.305,5063.394,3209.954,4339.745,5601.989,4521.146,5175.706,5116.872,5737.897,3241.233,2890.354,3070.309,2984.606,2667.064,4237.768,3686.749,9909.875,6489.402,3064.468,6285.460,5479.992,4979.438,7260.927,6320.978,2937.305,2986.483,2747.711,3809.783,3881.379,3835.526,5060.649,5766.692,3807.398,3451.743,4639.805,3756.449,3017.138,3582.827,2962.671,2997.579,5739.107,3348.126,3468.229,4196.910,3363.449,3150.571,4705.411,4353.369,8737.933,3230.117,2543.808,3549.714,6990.794,3144.497,3310.647,2941.119,2613.434,6238.011,6125.658
