 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30
6242,1104.972,3546.897,4871.816,2802.403,2384.813,1751.485,3188.878,2451.558,1873.618,3084.841,1863.409,3751.226,1880.630,2443.583,1703.823,2169.378,1669.659,1926.499,2888.188,3123.834,4908.106,3468.258,2655.090,2749.058,2200.258,2849.855,2167.948,1820.658,1673.124,2954.282
6243,1116.648,3549.686,5053.792,2791.808,2413.767,1766.025,3182.347,2448.273,1882.559,3091.167,1861.966,3701.859,1884.357,2394.065,1717.136,2155.949,1663.826,1910.869,3271.116,3104.723,4792.777,3582.628,2666.287,2778.274,2212.531,2837.260,2186.323,1810.705,1726.947,2950.090
6244,1104.088,3544.771,5177.723,2809.532,2425.006,1751.041,3193.336,2477.724,1878.781,3107.540,1881.625,3611.575,1873.261,2407.086,1714.452,2174.117,1679.762,1940.455,3801.880,3094.485,4660.000,3679.264,2653.793,2801.510,2164.932,2857.915,2186.809,1829.025,1927.593,2951.770
6245,1123.028,3545.944,5278.197,2813.098,2426.919,1774.963,3193.415,2464.784,1859.662,3085.890,1853.984,3551.327,1872.849,2413.184,1707.576,2190.581,1652.565,1937.315,4361.246,3085.972,4523.586,3760.225,2653.283,2784.452,2173.383,2853.333,2179.888,1825.774,2166.262,2940.883
6246,1112.329,3568.886,5348.090,2809.895,2437.692,1758.659,3235.448,2467.637,1896.014,3108.233,1867.328,3475.377,1883.293,2400.530,1708.475,2184.516,1684.355,1933.125,4702.750,3090.647,4356.597,3794.557,2663.729,2814.694,2191.731,2856.970,2166.748,1804.825,2454.755,2926.192
6247,1132.361,3568.517,5365.622,2819.947,2423.752,1752.280,3199.657,2468.986,1886.638,3145.039,1854.206,3413.355,1885.774,2384.745,1700.343,2174.558,1664.341,1902.082,4906.589,3080.018,4223.263,3837.426,2665.138,2850.212,2164.164,2889.705,2178.469,1804.801,2655.610,2938.192
6248,1125.278,3572.466,5410.597,2835.479,2421.109,1765.234,3177.946,2469.734,1855.078,3179.377,1868.938,3341.686,1871.202,2390.286,1715.559,2177.919,1672.682,1927.414,4965.142,3088.671,4155.184,3831.954,2671.235,2815.121,2168.572,2889.242,2189.240,1836.534,2844.813,2929.649
6249,1141.898,3580.682,5379.315,2802.451,2407.424,1746.161,3190.991,2450.406,1880.813,3201.016,1847.755,3284.736,1874.045,2372.097,1719.602,2177.297,1663.170,1947.280,4999.707,3077.947,4034.322,3792.715,2676.669,2818.747,2157.865,2880.522,2188.998,1823.452,2999.303,2916.451
6250,1143.597,3567.404,5373.243,2812.309,2427.496,1770.017,3208.721,2478.718,1876.068,3177.025,1849.508,3231.542,1863.663,2383.596,1703.244,2203.999,1682.910,1917.292,5144.228,3047.440,3896.626,3780.846,2669.635,2804.682,2162.794,2880.488,2179.996,1813.377,3152.236,2923.541
6251,1127.014,3564.432,5292.534,2826.815,2413.039,1752.273,3221.059,2491.341,1902.089,3182.949,1844.190,3159.382,1885.361,2373.052,1709.388,2198.184,1673.577,1941.146,5156.579,3037.854,3759.334,3734.528,2642.669,2764.909,2125.947,2888.898,2185.200,1820.365,3254.385,2911.804
6252,1125.745,3561.828,5274.997,2825.902,2437.910,1754.441,3183.791,2475.833,1888.453,3204.912,1860.505,3087.296,1879.291,2367.271,1700.223,2205.282,1634.779,1927.012,5096.557,3009.126,3697.021,3687.175,2666.218,2748.486,2138.655,2901.722,2187.819,1824.332,3347.302,2909.732
6253,1117.736,3548.699,5219.334,2814.133,2429.359,1749.264,3192.625,2497.599,1900.636,3228.719,1868.185,3034.970,1859.383,2356.460,1711.030,2195.027,1660.908,1919.134,5088.741,3013.674,3617.879,3659.713,2644.674,2721.964,2156.931,2895.755,2191.417,1813.134,3407.344,2917.796
6254,1105.468,3567.318,5132.798,2822.664,2407.105,1744.198,3164.888,2458.978,1882.598,3232.819,1854.682,2967.140,1865.529,2344.738,1720.818,2190.250,1648.078,1919.595,4997.575,3005.535,3526.447,3615.337,2645.267,2683.801,2134.401,2892.730,2192.134,1806.441,3458.450,2916.291
6255,1130.352,3568.887,5074.071,2821.254,2446.477,1772.032,3169.631,2483.352,1917.543,3229.299,1873.938,2949.799,1865.161,2334.199,1705.588,2215.090,1649.710,1925.694,5094.741,2979.681,3412.952,3554.591,2652.994,2655.284,2148.142,2880.924,2192.641,1814.921,3492.919,2952.554
6256,1138.051,3553.221,5000.963,2831.987,2449.446,1756.336,3175.709,2480.331,1929.773,3230.311,1896.297,2903.800,1876.745,2341.934,1704.811,2244.515,1644.885,1922.376,5004.397,2975.649,3295.357,3491.161,2649.656,2596.971,2128.852,2897.739,2189.032,1820.764,3496.208,2910.407
