 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58
2105,1276.190,3261.489,3191.781,3012.347,3354.185,3929.934,3349.392,4113.764,2815.335,2873.793,4047.314,3285.906,3747.815,2241.891,2368.771,2507.429,2616.966,2684.698,2650.627,2471.110,2897.310,3479.929,4472.275,3147.393,2256.910,3727.706,2546.630,4223.103,2542.530,3613.170,2169.808,2903.172,2044.832,3693.190,2917.600,2689.178,2855.402,2108.940,2940.844,2392.841,2639.424,3155.809,4574.626,2483.669,3553.186,3563.881,2649.868,1953.793,1421.305,3040.424,2833.543,3482.649,3234.662,3527.044,2176.905,4241.926,2562.613,1655.883
2106,1256.476,3255.529,3181.407,3018.112,3393.351,3933.736,3366.363,4139.068,2818.406,2875.655,4066.689,3284.442,3724.086,2234.259,2380.176,2524.780,2632.509,2691.736,2653.911,2493.896,2909.485,3456.033,4498.091,3130.081,2266.806,3731.953,2525.157,4253.996,2556.468,3596.201,2167.192,2887.588,2041.299,3729.477,2942.033,2710.240,2848.262,2110.039,2932.288,2399.564,2663.030,3165.808,4568.805,2493.560,3570.596,3570.970,2675.584,1959.090,1426.855,3021.626,2816.811,3467.600,3225.183,3514.388,2218.064,4289.693,2565.736,1664.467
2107,1299.238,3231.750,3191.323,2982.330,3312.324,3948.941,3341.400,4142.932,2818.969,2864.396,4074.468,3284.499,3743.982,2245.775,2363.165,2491.285,2636.949,2680.945,2670.054,2487.149,2903.788,3418.992,4485.437,3132.431,2272.772,3733.220,2535.626,4231.792,2539.917,3619.472,2194.390,2888.828,2064.278,3697.627,2927.063,2711.094,2834.613,2105.928,2948.337,2415.037,2681.772,3141.838,4569.545,2467.739,3562.153,3556.834,2661.546,1958.246,1419.666,3018.841,2804.964,3441.063,3226.139,3577.781,2184.773,4280.595,2578.915,1674.597
2108,1266.429,3257.778,3244.001,2987.688,3347.509,3939.267,3375.566,4137.969,2846.175,2873.227,4064.665,3303.144,3730.817,2237.173,2376.178,2516.718,2625.245,2683.831,2691.731,2484.257,2901.325,3391.853,4520.371,3149.436,2276.255,3756.690,2548.144,4270.059,2535.832,3617.155,2185.052,2922.751,2050.167,3707.700,2918.506,2733.551,2855.535,2129.384,2977.523,2403.278,2677.804,3151.320,4602.573,2489.630,3533.503,3596.467,2649.047,1970.125,1425.875,3055.210,2834.899,3470.883,3237.419,3594.024,2217.457,4329.681,2572.218,1678.497
2109,1308.937,3239.569,3216.976,2978.173,3330.413,3919.462,3369.372,4110.439,2826.265,2868.154,4076.606,3302.749,3738.078,2259.064,2372.921,2470.891,2608.579,2692.682,2687.101,2490.701,2920.654,3346.647,4519.529,3132.358,2272.402,3747.817,2546.883,4220.509,2536.689,3615.577,2185.458,2901.659,2048.103,3720.637,2924.488,2760.081,2846.308,2112.666,2936.953,2402.607,2673.734,3146.169,4577.075,2474.218,3581.821,3624.437,2646.916,1954.470,1433.169,3018.210,2840.479,3481.174,3236.612,3604.666,2212.913,4332.271,2584.819,1663.558
2110,1270.190,3237.005,3225.814,2989.519,3337.766,3962.276,3357.736,4123.831,2846.642,2859.305,4045.249,3280.602,3752.958,2251.881,2384.319,2495.988,2608.780,2702.691,2725.518,2492.279,2883.803,3327.605,4482.449,3118.656,2282.205,3769.706,2545.055,4210.020,2541.305,3629.721,2188.673,2901.357,2058.349,3694.641,2928.796,2729.199,2840.882,2116.700,3002.647,2407.609,2679.695,3155.801,4575.757,2499.860,3515.146,3590.026,2683.821,1973.829,1422.424,3039.574,2826.480,3468.143,3243.064,3612.878,2212.386,4331.872,2567.189,1690.197
2111,1251.333,3228.686,3211.014,2971.575,3355.904,3919.606,3369.127,4107.174,2863.115,2862.651,4067.155,3286.682,3798.290,2261.259,2358.392,2494.102,2636.751,2675.423,2781.586,2490.773,2900.246,3304.022,4511.282,3125.445,2280.160,3803.453,2540.516,4219.323,2551.826,3634.062,2197.490,2892.677,2030.969,3695.638,2941.705,2758.410,2842.817,2128.356,2988.785,2394.288,2671.460,3142.231,4575.377,2486.502,3527.435,3610.889,2671.549,1955.345,1388.169,3053.430,2820.069,3471.469,3279.139,3626.108,2243.933,4355.647,2584.204,1656.929
2112,1308.333,3243.447,3206.226,2978.771,3354.249,3953.729,3348.875,4115.874,2868.179,2880.432,4069.406,3309.270,3807.870,2258.476,2361.567,2510.997,2610.098,2694.313,2814.195,2506.312,2913.788,3262.061,4507.840,3131.484,2292.216,3847.823,2538.698,4267.631,2550.100,3623.717,2208.761,2921.390,2041.144,3706.820,2906.814,2770.079,2852.168,2129.435,2974.679,2395.564,2696.340,3191.544,4581.376,2480.210,3542.789,3607.350,2667.913,1953.146,1412.735,3036.926,2804.261,3457.183,3266.755,3596.439,2205.244,4389.010,2596.923,1682.108
2113,1283.841,3220.117,3185.666,2941.313,3352.605,3947.875,3352.456,4080.535,2875.690,2872.956,4047.360,3293.703,3811.452,2252.605,2372.291,2486.961,2607.709,2669.414,2799.244,2520.078,2925.772,3213.284,4503.010,3125.403,2309.863,3829.256,2532.603,4210.115,2521.175,3623.293,2175.670,2883.766,2032.687,3715.508,2949.530,2796.074,2853.351,2125.562,2981.836,2394.239,2690.639,3164.615,4571.004,2462.198,3570.574,3608.731,2670.330,1956.562,1429.506,3042.008,2822.420,3464.426,3298.419,3615.007,2196.036,4400.651,2579.703,1690.405
2114,1286.921,3232.370,3202.580,2955.614,3363.902,3947.647,3349.075,4121.982,2859.999,2878.895,4066.932,3295.692,3822.476,2241.423,2349.906,2480.519,2621.334,2685.622,2804.694,2483.330,2915.510,3164.466,4498.709,3143.440,2293.323,3839.635,2539.333,4256.691,2536.342,3609.405,2176.495,2922.381,2042.555,3709.370,2867.680,2818.608,2863.580,2120.779,2971.387,2403.298,2675.145,3175.189,4597.507,2429.805,3556.295,3642.049,2681.946,1951.550,1406.331,3045.642,2830.162,3496.366,3340.116,3611.304,2270.230,4389.737,2577.513,1678.204
2115,1265.587,3212.908,3225.034,2930.411,3339.306,3929.312,3362.620,4107.077,2860.455,2868.269,4071.097,3296.745,3815.518,2288.839,2369.035,2504.540,2603.314,2679.807,2822.213,2499.093,2897.910,3119.211,4483.228,3115.069,2314.543,3816.614,2512.813,4228.629,2541.162,3630.626,2196.197,2906.081,2046.713,3723.964,2895.452,2768.077,2859.208,2129.086,2968.584,2396.262,2691.546,3182.092,4582.583,2451.930,3555.203,3641.748,2678.107,1949.288,1413.244,3034.337,2814.982,3466.700,3359.587,3583.281,2264.748,4412.238,2572.802,1673.240
2116,1254.905,3218.643,3261.065,2956.291,3351.268,3935.558,3357.582,4082.862,2876.910,2864.036,4067.848,3303.880,3811.836,2230.736,2372.334,2491.709,2635.254,2681.954,2836.526,2492.746,2900.649,3097.071,4510.103,3101.238,2277.082,3866.941,2524.057,4251.844,2539.651,3614.683,2174.205,2906.045,2057.067,3713.078,2929.105,2793.572,2860.872,2129.154,2987.807,2392.544,2710.299,3179.624,4599.640,2435.778,3515.942,3648.354,2679.115,1964.093,1416.791,3032.006,2828.290,3485.186,3346.608,3584.892,2255.249,4471.906,2598.738,1683.387
