 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34
28,670.514,1833.307,1337.674,1622.588,1687.219,1548.284,1341.582,1832.323,1356.627,1698.457,1695.488,1909.857,1624.268,1473.263,1899.562,1308.661,1413.867,1685.381,1443.424,1716.625,1175.363,1830.170,1110.996,2184.213,1408.819,1338.960,2556.298,1710.389,1681.439,1753.391,1756.340,2188.035,1525.436,2255.141
29,673.965,1841.965,1341.257,1629.502,1695.281,1539.629,1345.021,1848.834,1350.776,1698.877,1687.273,1902.884,1623.057,1480.209,1913.860,1316.360,1418.724,1672.838,1441.116,1720.824,1175.347,1825.978,1111.364,2183.849,1409.984,1342.804,2545.556,1710.994,1684.956,1745.363,1773.483,2180.567,1522.743,2266.326
30,673.742,1832.526,1339.842,1618.406,1686.996,1541.468,1340.104,1836.902,1354.000,1697.191,1691.499,1899.885,1618.657,1476.392,1899.148,1304.987,1412.208,1659.244,1432.148,1712.017,1172.834,1825.726,1109.469,2179.382,1419.393,1342.259,2548.119,1705.383,1682.304,1735.391,1770.512,2167.000,1524.628,2275.946
31,675.263,1846.447,1340.785,1615.054,1697.053,1542.659,1346.738,1833.282,1350.663,1697.552,1694.033,1915.531,1623.653,1477.849,1903.068,1306.578,1421.068,1672.293,1444.134,1719.204,1173.689,1828.321,1109.546,2170.358,1415.428,1340.897,2540.734,1704.765,1684.349,1754.598,1769.862,2188.820,1521.379,2285.114
32,675.978,1839.484,1340.994,1626.094,1694.970,1547.764,1340.133,1843.860,1346.702,1708.842,1695.974,1903.165,1628.645,1476.789,1905.439,1308.163,1414.287,1673.123,1430.046,1724.966,1177.572,1837.119,1113.191,2185.937,1418.073,1338.497,2537.912,1705.962,1684.121,1735.461,1777.610,2187.929,1522.444,2270.881
33,669.933,1854.747,1336.810,1623.006,1690.336,1532.763,1339.510,1842.466,1350.180,1700.281,1692.648,1905.413,1624.900,1473.739,1901.914,1316.336,1420.284,1671.324,1430.802,1713.454,1168.869,1830.935,1111.393,2172.426,1423.658,1337.542,2527.471,1707.374,1685.914,1749.095,1772.264,2182.951,1525.888,2291.141
34,675.779,1837.262,1340.400,1622.782,1684.374,1545.517,1341.970,1843.100,1343.222,1703.183,1696.808,1909.372,1626.438,1466.542,1897.516,1312.842,1414.122,1678.876,1426.457,1717.167,1168.711,1837.543,1113.453,2179.211,1416.621,1338.946,2529.768,1705.210,1681.610,1743.916,1780.965,2183.006,1526.560,2279.129
35,677.021,1849.102,1345.203,1624.272,1704.077,1547.357,1348.438,1844.942,1356.204,1717.760,1711.133,1911.764,1628.203,1481.746,1902.123,1329.652,1425.799,1680.870,1437.609,1725.055,1180.410,1847.587,1118.038,2179.010,1431.681,1347.785,2532.656,1718.581,1698.395,1755.083,1790.753,2206.238,1542.910,2297.715
36,670.474,1836.529,1338.248,1620.739,1697.189,1542.601,1335.265,1828.832,1340.547,1698.879,1698.432,1883.176,1622.727,1476.384,1892.491,1313.445,1410.842,1675.620,1425.235,1703.033,1170.091,1837.697,1111.978,2167.741,1418.509,1337.146,2525.164,1699.531,1686.738,1736.655,1775.101,2188.428,1521.805,2269.779
37,672.269,1850.833,1342.493,1628.094,1694.907,1550.036,1338.514,1834.758,1348.958,1714.602,1698.276,1904.403,1628.733,1476.000,1899.431,1316.183,1420.217,1671.463,1431.965,1709.909,1171.934,1830.528,1111.989,2185.962,1433.800,1334.359,2520.668,1719.049,1692.244,1738.421,1787.919,2184.046,1524.892,2296.166
38,670.883,1853.066,1341.656,1619.222,1686.845,1551.022,1336.912,1840.919,1342.870,1701.533,1695.105,1908.971,1628.816,1486.686,1900.771,1318.601,1414.881,1667.139,1444.687,1710.694,1169.231,1830.713,1113.687,2178.647,1424.106,1339.571,2528.871,1709.381,1693.375,1740.572,1796.828,2195.537,1536.266,2267.831
39,673.270,1856.312,1346.791,1624.102,1701.526,1548.909,1339.277,1841.139,1357.273,1713.155,1700.555,1901.307,1627.777,1474.416,1903.448,1316.616,1428.604,1670.619,1441.639,1712.629,1178.976,1843.031,1116.630,2178.065,1424.657,1337.990,2520.780,1715.364,1690.152,1747.525,1797.408,2188.232,1532.400,2291.155
40,673.309,1846.176,1342.092,1626.407,1693.980,1545.931,1336.010,1834.423,1353.709,1706.573,1709.796,1903.738,1629.767,1475.979,1912.501,1317.661,1413.947,1676.005,1437.193,1702.509,1172.362,1837.778,1115.594,2169.166,1421.261,1338.557,2521.239,1717.525,1693.193,1740.932,1795.083,2202.363,1534.188,2273.099
41,678.066,1862.556,1346.676,1620.089,1697.126,1555.643,1339.375,1827.967,1352.198,1711.550,1700.464,1910.944,1634.288,1480.738,1903.715,1319.803,1426.816,1674.851,1435.038,1704.493,1175.204,1838.626,1119.218,2183.344,1433.192,1335.880,2498.799,1718.340,1695.581,1748.522,1787.840,2216.462,1538.673,2273.736
42,673.301,1861.194,1346.406,1626.533,1699.147,1554.075,1340.898,1841.073,1349.739,1708.376,1703.341,1903.473,1631.946,1467.331,1904.531,1315.316,1418.733,1679.598,1442.364,1699.524,1175.684,1832.865,1116.104,2188.413,1432.208,1337.829,2513.433,1716.996,1697.160,1749.592,1795.104,2211.186,1537.173,2278.580
43,673.056,1858.347,1343.027,1629.821,1696.000,1556.192,1337.978,1843.500,1352.169,1708.580,1700.017,1900.966,1634.406,1470.599,1908.650,1318.741,1418.913,1671.861,1435.139,1708.837,1175.751,1831.392,1120.520,2169.362,1437.265,1337.355,2505.659,1715.316,1692.950,1742.501,1785.437,2220.806,1520.970,2268.562
44,678.073,1853.440,1353.643,1637.801,1703.453,1556.017,1344.581,1833.202,1358.012,1726.012,1707.777,1922.513,1636.611,1480.664,1918.145,1323.591,1430.101,1680.817,1442.928,1708.374,1175.860,1844.398,1123.955,2199.128,1445.019,1345.836,2527.682,1714.771,1710.065,1756.022,1815.738,2213.948,1538.442,2287.480
45,675.295,1860.086,1344.401,1623.476,1689.422,1555.041,1336.781,1850.467,1347.402,1718.306,1699.953,1899.279,1637.848,1480.925,1899.712,1314.166,1415.979,1676.127,1428.577,1701.291,1169.422,1835.560,1115.556,2181.813,1434.927,1336.520,2484.819,1706.332,1695.318,1745.835,1802.379,2211.060,1533.297,2259.705
46,676.130,1862.226,1348.090,1630.084,1700.418,1563.461,1337.856,1843.171,1353.883,1717.484,1707.687,1915.182,1638.038,1487.529,1916.041,1313.927,1427.876,1681.581,1442.502,1714.386,1177.343,1842.496,1121.914,2184.455,1446.937,1344.217,2517.734,1713.125,1709.901,1750.276,1808.970,2217.061,1540.500,2272.384
47,673.053,1855.747,1345.151,1632.262,1702.465,1561.928,1346.743,1844.363,1350.842,1719.577,1701.622,1904.140,1627.465,1480.142,1899.607,1316.238,1422.648,1685.877,1441.680,1701.412,1172.382,1841.696,1118.511,2186.177,1434.427,1340.830,2510.244,1709.682,1704.552,1748.492,1803.772,2222.667,1534.629,2267.430
48,676.503,1864.013,1351.380,1635.009,1704.444,1573.618,1335.780,1840.483,1349.417,1726.091,1699.170,1908.919,1635.103,1478.576,1919.337,1317.882,1427.106,1680.175,1443.766,1703.938,1173.058,1834.305,1124.464,2176.475,1448.921,1338.431,2513.892,1717.885,1709.387,1749.065,1809.989,2223.448,1531.519,2280.540
49,672.653,1847.126,1347.354,1632.319,1691.932,1573.378,1336.285,1845.094,1345.147,1724.056,1708.286,1909.448,1637.967,1473.831,1902.099,1317.202,1419.932,1664.045,1438.939,1701.159,1173.172,1837.535,1121.728,2177.870,1444.267,1336.868,2514.115,1707.294,1701.885,1740.158,1806.547,2230.091,1521.869,2248.842
50,677.055,1846.308,1346.169,1635.962,1699.052,1573.350,1336.988,1834.094,1356.144,1737.173,1706.223,1915.296,1636.590,1479.267,1910.846,1320.078,1420.632,1670.221,1439.799,1696.481,1175.625,1828.463,1120.091,2182.971,1445.467,1339.232,2509.228,1718.302,1703.480,1747.263,1826.124,2239.078,1533.169,2256.556
51,670.082,1857.227,1347.546,1633.253,1700.434,1574.135,1341.153,1832.241,1353.199,1725.695,1696.957,1918.553,1635.104,1477.112,1902.159,1320.785,1425.279,1671.156,1437.652,1696.359,1175.208,1834.851,1116.805,2185.084,1446.406,1331.744,2499.143,1709.489,1710.631,1746.252,1822.482,2237.457,1532.321,2279.387
52,668.986,1850.831,1344.557,1635.246,1702.108,1567.095,1332.380,1822.128,1354.582,1719.048,1703.720,1908.482,1626.492,1479.623,1900.984,1313.631,1417.420,1673.973,1432.278,1690.293,1171.002,1828.862,1116.852,2184.562,1443.956,1338.216,2501.451,1720.264,1699.947,1753.233,1827.789,2240.402,1526.133,2269.735
53,676.828,1860.390,1349.493,1631.786,1700.848,1568.219,1344.684,1836.660,1348.975,1730.818,1710.902,1918.688,1634.180,1476.437,1920.451,1327.106,1427.427,1665.768,1438.531,1695.031,1179.587,1832.861,1121.401,2180.273,1441.040,1337.983,2503.194,1721.846,1712.990,1739.477,1833.171,2232.557,1527.195,2246.355
54,675.369,1862.389,1354.535,1632.365,1705.195,1577.633,1346.725,1852.744,1356.493,1725.078,1707.594,1914.935,1639.014,1482.179,1901.575,1327.595,1432.042,1692.252,1438.854,1708.876,1177.847,1834.556,1125.086,2196.423,1452.384,1337.398,2523.292,1719.111,1713.333,1764.054,1847.803,2251.691,1535.550,2274.486
55,672.691,1853.633,1349.816,1637.512,1702.012,1580.439,1342.786,1828.745,1357.069,1737.676,1709.005,1924.726,1637.903,1485.130,1917.288,1319.321,1426.617,1688.926,1432.439,1697.655,1180.086,1825.699,1123.418,2192.749,1454.030,1337.024,2496.442,1715.534,1714.776,1758.574,1861.582,2251.125,1530.779,2293.853
56,671.250,1856.115,1352.152,1623.564,1695.203,1573.996,1345.269,1828.366,1348.771,1731.247,1720.293,1911.454,1632.069,1473.820,1900.397,1318.237,1425.236,1675.922,1428.895,1692.174,1173.806,1835.185,1123.087,2195.259,1450.193,1340.008,2499.852,1716.903,1713.937,1746.862,1834.874,2261.940,1536.134,2272.783
57,678.373,1846.454,1352.041,1633.603,1712.945,1581.075,1341.705,1835.619,1346.758,1728.123,1710.046,1917.067,1637.091,1480.668,1919.888,1324.296,1422.144,1682.837,1432.571,1692.598,1176.153,1824.677,1123.399,2195.521,1449.326,1337.880,2508.220,1717.964,1718.437,1766.212,1846.195,2256.687,1528.494,2294.789
58,679.235,1857.603,1351.662,1645.741,1705.184,1580.272,1344.818,1834.505,1349.009,1737.817,1717.284,1915.135,1641.846,1480.052,1914.998,1323.549,1427.698,1669.901,1438.121,1696.626,1180.517,1821.488,1122.469,2193.483,1451.042,1342.322,2483.576,1722.233,1716.966,1741.768,1853.232,2258.965,1545.212,2284.262
59,676.076,1846.536,1351.299,1638.267,1705.036,1576.919,1343.135,1834.258,1348.987,1730.902,1726.524,1909.829,1641.141,1481.405,1907.558,1324.565,1420.989,1666.809,1434.843,1678.478,1174.542,1817.153,1122.306,2191.458,1444.823,1333.961,2493.300,1731.474,1717.806,1743.752,1841.389,2266.317,1521.003,2275.072
60,678.137,1844.476,1353.655,1635.836,1704.241,1577.628,1344.240,1838.885,1349.728,1731.772,1715.310,1917.777,1639.298,1475.339,1912.258,1317.072,1416.961,1682.404,1430.052,1684.024,1178.374,1825.433,1119.317,2191.160,1455.790,1343.802,2503.433,1722.800,1718.258,1734.511,1849.651,2264.424,1527.225,2250.775
61,681.097,1854.635,1363.455,1648.011,1718.552,1583.100,1353.183,1845.769,1346.936,1752.119,1729.133,1926.549,1648.699,1482.619,1916.554,1326.832,1428.903,1685.816,1437.346,1691.663,1187.045,1825.005,1130.147,2212.117,1460.726,1349.098,2516.811,1721.885,1723.859,1749.528,1862.038,2280.633,1541.234,2276.787
62,680.670,1862.378,1357.158,1643.347,1705.943,1591.159,1347.236,1842.656,1351.719,1731.686,1724.995,1919.342,1648.717,1482.646,1908.071,1325.818,1423.026,1674.126,1436.366,1681.544,1183.232,1829.840,1126.096,2202.676,1458.061,1344.811,2500.594,1733.813,1729.055,1748.117,1852.587,2266.251,1531.665,2265.681
