 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14
63,730.015,1645.034,1405.923,1243.076,890.147,1100.370,1043.356,920.082,1215.743,1556.270,1747.268,1222.768,1487.615,1036.035
64,723.725,1638.720,1400.821,1234.707,889.122,1096.051,1037.383,916.376,1209.477,1549.693,1725.379,1220.021,1480.711,1033.661
65,730.816,1640.658,1401.298,1237.078,888.093,1094.560,1036.969,919.569,1213.904,1546.859,1721.003,1222.036,1487.193,1028.916
66,726.049,1637.784,1406.915,1238.833,888.384,1096.479,1038.138,918.903,1214.388,1547.218,1706.954,1222.875,1484.157,1031.143
67,725.784,1642.960,1400.774,1235.875,887.568,1093.920,1038.532,915.282,1217.122,1544.702,1692.881,1219.823,1481.291,1033.896
68,730.882,1642.012,1407.354,1238.149,892.110,1096.629,1040.654,920.817,1214.159,1550.310,1694.182,1225.012,1490.964,1027.782
69,742.154,1641.556,1404.458,1238.785,892.916,1098.776,1038.037,920.599,1217.684,1547.139,1679.402,1225.803,1485.477,1030.837
70,720.027,1638.824,1406.497,1237.142,891.274,1098.951,1040.164,921.147,1214.776,1546.361,1663.481,1227.871,1478.322,1030.028
71,731.993,1633.069,1403.849,1236.944,890.169,1093.508,1041.108,918.412,1216.803,1546.920,1654.676,1226.063,1483.188,1024.948
72,737.056,1631.863,1405.590,1234.362,888.867,1095.849,1039.645,918.491,1216.540,1547.934,1651.901,1220.778,1483.558,1023.833
73,745.380,1639.211,1408.665,1238.303,890.773,1097.570,1040.004,919.641,1217.423,1550.370,1643.296,1221.116,1479.394,1024.078
74,741.868,1638.187,1409.651,1233.572,892.385,1098.385,1041.259,921.337,1214.175,1548.199,1628.061,1224.193,1488.840,1023.866
75,733.373,1635.360,1408.640,1233.377,888.019,1096.099,1038.262,919.275,1216.162,1542.733,1610.580,1218.771,1477.308,1016.962
76,729.564,1635.798,1410.482,1232.692,890.217,1096.108,1038.285,918.164,1215.517,1544.201,1605.486,1222.829,1484.541,1025.766
77,735.971,1634.012,1411.974,1234.688,892.518,1095.138,1043.273,920.964,1219.182,1543.647,1601.035,1227.414,1481.044,1021.651
78,740.150,1635.851,1411.025,1234.679,891.353,1096.790,1040.798,918.296,1219.101,1545.874,1595.358,1227.937,1485.378,1020.028
79,736.659,1630.364,1413.507,1232.194,890.972,1094.852,1039.808,919.473,1215.837,1544.315,1579.957,1229.092,1483.416,1013.406
80,742.527,1630.625,1410.023,1235.385,891.850,1094.886,1040.490,919.886,1218.573,1547.305,1575.475,1223.001,1487.683,1014.603
