 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18
6181,740.112,1075.576,1207.424,960.462,1316.471,1366.333,1470.575,1361.060,1253.930,1437.959,1241.051,1033.457,1051.820,849.011,876.581,927.013,902.747,1274.328
6182,733.973,1075.144,1199.564,958.757,1313.036,1361.158,1465.434,1354.754,1248.476,1438.141,1237.455,1029.001,1046.760,843.615,870.122,923.730,900.625,1272.650
6183,744.738,1074.935,1203.741,960.052,1309.043,1355.704,1465.903,1354.038,1254.145,1434.698,1236.833,1032.790,1047.727,850.796,874.012,923.626,900.555,1274.067
6184,743.027,1075.292,1201.789,957.869,1309.638,1357.294,1464.623,1348.786,1248.190,1441.903,1238.856,1024.803,1049.351,845.441,870.112,925.931,899.564,1270.971
6185,735.194,1076.554,1201.214,958.109,1315.214,1359.017,1464.671,1354.812,1252.777,1434.895,1242.810,1030.074,1049.244,846.749,873.935,927.698,898.802,1269.749
6186,736.867,1077.725,1206.394,961.534,1308.393,1354.205,1464.773,1357.242,1254.071,1438.669,1239.421,1030.344,1051.882,846.186,873.545,929.521,901.788,1273.742
6187,729.296,1070.959,1202.047,956.907,1310.487,1350.257,1460.259,1347.873,1245.501,1431.815,1230.600,1025.570,1046.738,843.181,869.255,926.864,895.535,1263.484
6188,732.718,1072.997,1202.786,954.007,1313.112,1352.413,1464.568,1347.516,1250.531,1436.619,1236.518,1029.373,1049.428,843.291,871.784,927.801,895.950,1267.613
6189,725.554,1067.209,1195.129,952.189,1304.267,1344.072,1456.738,1346.019,1248.118,1430.356,1235.781,1026.652,1041.767,841.726,868.104,926.115,896.472,1263.953
6190,740.107,1073.903,1205.514,958.554,1315.501,1357.458,1461.844,1350.319,1247.147,1445.015,1234.909,1029.474,1047.100,846.820,872.685,934.938,899.359,1270.135
6191,741.770,1070.223,1199.392,955.750,1312.073,1353.463,1460.141,1347.488,1247.318,1436.896,1231.683,1025.714,1048.311,840.766,869.427,930.242,898.342,1263.811
6192,741.335,1073.825,1201.298,955.141,1309.625,1350.066,1460.198,1355.700,1245.569,1437.162,1230.007,1027.431,1042.844,841.078,871.200,929.335,896.232,1266.355
6193,737.656,1072.025,1204.555,953.795,1312.954,1352.315,1455.499,1351.903,1247.589,1437.863,1229.543,1029.784,1045.517,840.313,869.227,931.576,893.845,1269.185
6194,732.633,1070.739,1203.318,951.910,1305.681,1342.905,1457.096,1347.156,1246.672,1435.946,1228.574,1028.029,1041.683,841.115,866.654,931.968,896.002,1263.008
6195,737.859,1077.065,1207.101,956.608,1310.759,1351.644,1460.814,1355.254,1252.745,1437.481,1234.777,1031.165,1045.854,845.073,873.890,933.412,899.023,1268.361
6196,741.104,1073.039,1206.045,951.597,1312.400,1352.796,1460.760,1360.951,1253.479,1438.089,1231.908,1031.159,1045.441,844.616,870.941,936.356,898.583,1269.347
6197,731.946,1075.607,1204.541,952.707,1306.166,1354.236,1458.132,1356.972,1253.641,1441.507,1233.732,1033.847,1040.767,842.034,870.004,935.148,896.001,1262.828
6198,737.026,1072.100,1204.674,954.005,1303.663,1344.567,1456.532,1357.761,1253.147,1446.775,1230.286,1030.930,1046.355,840.928,871.469,937.873,896.799,1268.045
6199,742.423,1073.964,1204.554,957.057,1312.365,1345.301,1458.598,1358.273,1255.117,1440.660,1236.101,1032.526,1041.123,841.283,871.161,939.406,897.671,1268.668
6200,742.881,1074.223,1207.145,958.118,1311.605,1346.043,1459.904,1360.070,1257.306,1445.782,1234.337,1035.883,1050.262,844.245,874.060,945.169,900.243,1267.626
6201,732.204,1076.658,1206.103,957.004,1310.832,1342.987,1460.549,1360.544,1249.552,1445.247,1228.236,1031.291,1043.461,842.988,868.751,942.484,900.629,1269.400
6202,741.435,1072.268,1206.479,955.261,1311.365,1345.534,1460.794,1358.082,1253.920,1445.233,1229.150,1030.975,1040.570,842.463,871.930,941.960,898.500,1266.451
