 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41
1044,764.904,1819.401,1896.249,1993.769,2253.548,1891.381,1987.316,2092.222,2116.806,1677.011,2497.473,2577.264,1356.436,1833.859,1834.740,1851.455,1862.470,1948.270,1867.869,1421.254,1489.213,1418.796,1434.078,1958.761,1488.201,2201.453,2259.527,2127.739,1837.238,1694.252,1890.521,2002.825,1364.269,1668.604,1745.609,1654.875,2276.054,1794.893,2075.366,3231.578,2765.408
1045,766.817,1822.230,1891.786,1995.487,2290.999,1890.201,1988.556,2098.672,2110.383,1679.015,2490.393,2588.729,1342.460,1832.420,1845.483,1846.261,1856.526,1953.659,1868.555,1417.552,1487.400,1414.204,1442.276,1958.177,1474.651,2190.682,2278.822,2126.239,1832.946,1683.536,1888.355,1998.702,1365.608,1668.120,1745.338,1660.479,2279.134,1804.838,2081.916,3230.865,2770.594
1046,767.996,1825.504,1893.885,1996.863,2250.386,1885.703,1980.649,2092.348,2110.532,1676.705,2494.964,2585.029,1352.201,1827.741,1843.656,1843.391,1848.852,1961.395,1870.874,1405.213,1497.595,1413.180,1434.095,1947.576,1475.055,2192.053,2271.400,2137.125,1829.842,1692.287,1887.111,1995.179,1367.336,1667.066,1751.602,1657.721,2252.299,1791.911,2079.549,3229.120,2768.149
1047,773.201,1826.703,1908.271,1994.082,2272.688,1885.135,1990.912,2102.541,2124.399,1687.331,2503.836,2577.979,1354.458,1843.156,1847.841,1854.041,1857.404,1946.633,1880.406,1407.052,1499.515,1414.469,1436.553,1964.797,1483.818,2211.298,2275.987,2134.893,1826.698,1697.565,1885.407,2005.639,1366.525,1677.783,1748.379,1680.256,2259.403,1790.460,2083.955,3247.580,2786.840
1048,770.287,1821.457,1906.011,1993.028,2279.550,1881.160,1998.124,2115.400,2104.429,1677.151,2497.964,2595.142,1353.176,1834.004,1851.237,1843.250,1866.923,1951.399,1865.704,1417.197,1484.422,1420.047,1443.777,1964.463,1474.985,2197.230,2277.581,2133.759,1839.516,1688.066,1893.278,2000.828,1370.639,1670.299,1740.308,1675.284,2253.680,1796.968,2075.658,3238.316,2799.322
1049,767.164,1824.608,1912.753,1991.446,2268.021,1888.104,1983.612,2110.596,2108.701,1678.905,2501.010,2584.230,1354.952,1831.367,1845.001,1856.002,1865.863,1945.368,1857.836,1412.659,1490.769,1412.617,1440.273,1958.795,1472.778,2204.276,2284.308,2129.053,1828.968,1678.546,1878.750,1991.235,1370.312,1673.465,1756.938,1672.217,2238.511,1800.334,2091.734,3239.244,2792.766
1050,762.209,1813.253,1911.390,1994.095,2264.183,1885.834,1983.178,2106.746,2113.389,1679.858,2494.845,2571.752,1352.922,1828.405,1847.186,1847.934,1857.437,1922.683,1864.511,1399.577,1482.379,1412.662,1437.492,1952.751,1482.136,2188.824,2258.216,2130.598,1833.116,1673.048,1888.571,2000.002,1371.191,1665.871,1750.468,1675.718,2250.042,1781.292,2090.477,3248.420,2772.756
1051,764.103,1826.788,1917.170,1999.457,2274.472,1894.003,1993.507,2116.991,2106.339,1690.492,2504.515,2584.972,1350.055,1835.027,1847.650,1856.152,1866.804,1951.384,1868.944,1410.893,1492.430,1415.543,1441.724,1955.763,1483.655,2198.794,2286.557,2132.053,1831.196,1700.350,1896.048,2002.414,1370.419,1675.801,1762.728,1678.663,2266.027,1795.975,2085.639,3261.936,2781.217
1052,771.277,1823.841,1925.409,2012.569,2276.584,1890.635,1988.678,2126.737,2115.216,1689.238,2510.586,2595.245,1354.800,1836.179,1854.605,1857.462,1856.721,1937.125,1877.866,1409.269,1501.246,1420.113,1445.620,1961.630,1490.687,2194.356,2274.518,2134.574,1825.221,1676.647,1890.923,2010.153,1369.929,1672.722,1751.807,1672.356,2254.320,1802.732,2075.458,3253.400,2796.186
1053,764.671,1825.750,1921.092,1998.186,2260.321,1894.305,1992.578,2117.932,2102.371,1690.418,2497.829,2594.483,1346.244,1830.044,1846.985,1852.890,1870.304,1938.921,1870.585,1395.957,1495.745,1411.379,1437.479,1965.003,1476.094,2207.478,2271.275,2135.281,1830.374,1679.117,1893.629,2003.560,1368.597,1676.293,1751.102,1664.018,2255.124,1782.636,2072.331,3249.971,2797.249
