 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59,Mean60,Mean61,Mean62,Mean63,Mean64,Mean65,Mean66,Mean67,Mean68,Mean69,Mean70
5243,783.459,2439.743,2424.005,3339.448,2644.883,3363.507,3575.262,5182.155,3084.069,4054.392,3183.363,3309.967,2926.360,2494.391,3069.246,2419.036,3344.561,3136.139,2704.110,3372.704,3219.630,3150.536,3454.090,3479.494,2962.914,2922.765,3108.749,3424.896,3585.947,3883.771,4133.796,3803.543,2117.822,4109.654,4299.872,4204.561,3661.545,4476.540,5105.479,3637.729,4272.288,4818.793,3050.156,3149.736,3225.236,2768.040,2947.957,3673.162,2851.409,1903.968,2107.096,2266.286,1911.403,3038.028,2462.728,3076.583,2512.429,2753.893,4349.442,3715.483,1555.398,1943.388,3471.653,3040.233,1857.615,1931.522,1677.121,1666.579,3090.695,2230.629
5244,788.785,2437.734,2425.377,3326.813,2636.993,3376.905,3539.177,5195.726,3087.212,4076.934,3191.792,3332.065,2904.170,2499.635,3067.503,2422.716,3354.640,3128.645,2707.288,3324.004,3256.073,3156.390,3448.154,3471.134,2965.965,2903.297,3101.094,3418.035,3575.580,3876.630,4134.139,3790.090,2120.556,4104.689,4289.213,4203.898,3654.035,4437.123,5126.688,3617.495,4257.715,4779.857,3057.025,3126.841,3228.246,2776.320,2942.681,3649.639,2847.184,1927.478,2107.185,2280.221,1915.613,3019.978,2449.148,3065.521,2493.093,2779.388,4354.808,3700.300,1560.296,1962.126,3514.953,3033.592,1850.933,1915.988,1664.111,1657.426,3086.034,2208.619
5245,791.833,2438.305,2429.338,3335.933,2647.336,3373.303,3559.150,5233.904,3080.416,4093.639,3199.269,3309.753,2896.813,2498.534,3082.913,2432.863,3340.041,3131.880,2700.543,3382.244,3244.322,3185.310,3440.518,3496.459,2974.654,2912.090,3109.445,3407.834,3578.209,3869.429,4158.187,3833.341,2133.141,4122.781,4295.698,4200.733,3667.257,4511.703,5119.958,3649.568,4290.765,4807.664,3030.667,3142.334,3222.646,2775.689,2951.251,3653.240,2846.344,1916.458,2110.672,2286.771,1920.009,3021.503,2447.093,3061.583,2508.693,2773.042,4394.552,3722.890,1567.564,1975.363,3506.445,3079.976,1860.384,1944.771,1666.656,1639.251,3108.480,2193.617
5246,775.366,2426.858,2413.819,3327.689,2632.193,3377.742,3554.994,5210.062,3093.738,4038.627,3174.177,3327.518,2906.432,2495.365,3082.620,2399.030,3334.988,3131.237,2690.898,3356.908,3246.529,3167.768,3459.526,3467.644,2984.493,2929.207,3111.147,3411.763,3586.983,3859.252,4113.893,3805.027,2106.152,4123.725,4275.928,4206.506,3645.476,4451.416,5132.270,3642.729,4267.880,4795.015,3024.640,3146.759,3216.072,2766.783,2928.043,3639.621,2841.284,1903.241,2103.690,2274.605,1919.773,3012.609,2443.839,3080.146,2487.835,2767.364,4378.085,3703.341,1568.037,1925.866,3500.874,3035.124,1857.767,1949.795,1643.729,1659.684,3095.411,2203.556
5247,787.134,2425.561,2420.717,3320.651,2638.266,3378.203,3563.015,5213.376,3099.010,4050.321,3166.403,3323.564,2885.802,2493.094,3083.158,2427.470,3354.400,3123.583,2706.204,3339.783,3215.461,3169.032,3441.694,3479.602,2974.355,2912.082,3140.648,3403.052,3584.427,3886.512,4134.475,3803.281,2104.313,4119.081,4311.141,4194.808,3676.127,4428.613,5142.182,3655.633,4285.318,4811.182,3036.537,3141.557,3213.304,2765.211,2928.972,3662.745,2851.670,1913.159,2102.513,2288.278,1912.323,3013.369,2441.352,3069.823,2493.119,2775.253,4351.176,3708.584,1571.237,1951.205,3507.923,3048.860,1868.292,1950.290,1647.372,1665.691,3099.534,2211.823
5248,774.280,2429.406,2417.597,3335.852,2635.148,3370.406,3564.671,5178.456,3084.996,4044.732,3164.914,3308.535,2885.172,2489.338,3088.098,2416.005,3336.439,3122.926,2704.860,3352.277,3202.759,3152.993,3458.910,3480.216,2960.419,2902.181,3123.575,3422.181,3564.895,3889.508,4137.621,3809.189,2121.929,4109.784,4287.325,4185.902,3669.857,4436.741,5140.185,3633.088,4275.845,4788.901,3043.368,3132.456,3225.892,2767.263,2925.297,3646.992,2843.829,1912.276,2101.896,2286.262,1909.175,3021.000,2459.883,3061.062,2486.922,2744.497,4356.261,3720.161,1573.158,1943.009,3522.246,3052.537,1859.227,1938.287,1668.726,1665.029,3077.902,2208.974
5249,794.787,2429.652,2419.356,3350.594,2638.575,3373.032,3590.740,5216.785,3069.815,4038.756,3179.378,3321.597,2920.617,2485.676,3077.415,2401.160,3345.027,3116.711,2709.414,3368.837,3243.832,3177.355,3435.644,3471.262,2981.050,2915.827,3125.744,3392.773,3597.477,3890.357,4165.842,3806.828,2120.845,4120.484,4311.907,4195.604,3656.309,4460.205,5110.563,3659.393,4329.053,4797.815,3041.648,3157.366,3227.139,2772.365,2949.370,3671.022,2851.335,1925.202,2106.663,2286.048,1917.210,3012.212,2439.348,3069.662,2480.417,2762.056,4344.085,3667.841,1586.243,1960.804,3510.904,3067.953,1851.667,1932.264,1667.165,1666.672,3100.500,2204.580
5250,797.483,2419.744,2415.861,3317.666,2620.163,3373.386,3560.592,5209.717,3103.052,4029.542,3154.917,3303.860,2872.240,2484.808,3075.462,2411.017,3321.398,3129.194,2714.385,3328.455,3260.526,3153.903,3426.854,3473.586,2966.762,2904.886,3093.252,3403.069,3582.289,3885.674,4135.664,3831.134,2142.475,4114.088,4318.070,4199.181,3652.034,4440.605,5124.801,3640.454,4285.343,4796.485,3025.322,3140.466,3227.923,2770.236,2929.577,3637.347,2845.229,1935.386,2117.859,2285.528,1915.651,3014.350,2412.825,3082.897,2485.965,2762.583,4338.435,3685.640,1571.635,1943.960,3507.784,3031.439,1839.086,1961.135,1659.460,1681.971,3094.021,2198.337
5251,788.722,2421.943,2405.006,3340.094,2625.837,3362.079,3547.636,5176.247,3073.333,4048.147,3155.456,3304.084,2894.338,2475.191,3083.625,2431.465,3326.833,3100.466,2695.822,3361.771,3243.523,3155.060,3428.848,3453.188,2968.150,2889.570,3091.190,3409.093,3573.275,3886.001,4136.982,3803.614,2133.902,4109.466,4300.179,4193.781,3638.958,4458.088,5086.432,3648.965,4269.207,4800.257,3025.809,3131.190,3234.723,2767.730,2942.828,3616.565,2844.127,1899.685,2101.497,2277.336,1891.032,3028.001,2404.165,3053.511,2494.122,2763.458,4341.052,3683.000,1586.724,1917.093,3520.157,3049.699,1845.748,1935.765,1656.323,1650.366,3088.873,2183.154
5252,792.799,2417.315,2412.413,3323.094,2631.047,3364.903,3546.214,5179.164,3063.676,4038.703,3145.627,3310.316,2865.345,2486.996,3084.968,2429.715,3326.755,3109.368,2682.028,3330.990,3253.463,3145.951,3443.093,3469.209,2962.768,2913.253,3105.566,3453.983,3565.809,3878.881,4156.358,3798.054,2142.963,4120.856,4272.788,4200.475,3639.679,4463.583,5098.524,3596.853,4292.198,4811.708,3028.038,3144.855,3243.080,2761.683,2947.140,3657.160,2843.822,1928.030,2128.397,2288.024,1902.881,3027.262,2425.679,3060.308,2472.808,2758.032,4352.854,3679.893,1580.103,1939.670,3527.232,3048.352,1851.249,1944.179,1676.527,1667.122,3095.413,2222.093
5253,789.285,2423.269,2412.228,3337.386,2633.960,3382.527,3556.644,5203.359,3088.231,4061.370,3171.983,3320.871,2897.802,2487.275,3080.954,2414.805,3340.499,3120.057,2702.698,3345.839,3242.948,3163.394,3425.694,3491.646,2981.580,2891.196,3124.154,3405.676,3558.179,3880.705,4166.811,3808.396,2133.774,4142.882,4289.738,4195.595,3636.851,4425.437,5091.071,3620.024,4265.530,4798.579,3050.919,3143.901,3236.145,2780.250,2943.402,3686.096,2835.844,1898.784,2114.032,2299.002,1913.413,3029.677,2422.757,3093.114,2486.150,2752.272,4348.984,3705.064,1584.241,1939.447,3553.426,3046.306,1850.223,1961.493,1659.537,1671.266,3086.295,2209.708
5254,797.569,2415.556,2409.944,3338.095,2624.330,3377.672,3566.756,5183.070,3080.092,4031.378,3148.208,3304.249,2860.574,2472.868,3080.099,2429.523,3343.852,3112.821,2703.055,3322.097,3233.687,3140.906,3433.808,3493.067,2984.724,2887.506,3105.175,3405.399,3560.415,3860.183,4168.324,3789.133,2148.256,4108.854,4288.068,4201.039,3655.141,4419.659,5102.821,3655.961,4290.512,4779.548,3037.299,3137.733,3237.340,2755.256,2913.634,3647.766,2858.871,1904.968,2122.956,2275.706,1896.595,3029.438,2393.657,3056.783,2466.650,2753.264,4349.929,3715.936,1590.671,1933.381,3530.307,3046.701,1864.260,1949.053,1668.902,1658.242,3089.398,2217.550
