 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45
352,573.455,1464.746,1343.107,1326.358,1708.727,1628.582,1243.247,1331.742,1535.606,1461.812,1015.082,1678.630,1603.831,1115.838,1192.926,1576.257,1237.772,1757.718,1646.506,1392.557,1524.300,994.723,1720.339,1500.828,1532.156,1483.626,1813.319,1384.958,1066.380,1139.691,1279.449,1439.099,1079.914,932.654,1075.490,901.438,1274.495,1576.278,1186.288,1252.076,1227.331,1587.014,1374.202,1390.932,1195.645
353,568.549,1460.640,1336.490,1316.916,1700.798,1622.416,1241.759,1332.439,1534.680,1450.667,1009.984,1675.202,1606.580,1111.970,1189.207,1576.266,1228.948,1745.861,1633.323,1385.962,1521.787,987.273,1718.241,1501.476,1530.978,1481.699,1801.428,1383.931,1067.750,1131.855,1263.168,1440.510,1073.457,930.260,1074.192,891.876,1267.688,1574.418,1179.941,1247.101,1226.010,1578.154,1373.359,1391.633,1197.349
354,570.070,1463.415,1335.563,1315.425,1700.288,1612.728,1239.258,1330.622,1526.990,1451.899,1011.609,1677.473,1598.612,1113.459,1188.078,1575.376,1226.602,1756.508,1640.682,1385.397,1515.425,993.909,1715.584,1502.280,1524.714,1484.976,1788.570,1379.859,1074.065,1140.035,1275.550,1439.400,1071.062,940.322,1078.833,894.115,1281.366,1573.243,1188.540,1247.326,1224.602,1565.748,1373.000,1387.473,1202.743
355,565.271,1468.232,1334.684,1312.171,1693.065,1616.263,1244.022,1323.987,1523.198,1450.336,1008.207,1674.417,1599.061,1109.384,1189.084,1568.207,1230.078,1749.520,1622.189,1376.741,1512.187,989.615,1716.878,1489.274,1521.250,1475.640,1800.001,1386.494,1051.918,1129.817,1266.139,1431.721,1073.973,929.706,1076.686,889.795,1271.606,1573.527,1176.299,1247.572,1230.706,1566.863,1369.204,1393.820,1188.278
356,567.706,1467.919,1334.318,1313.592,1686.803,1621.751,1245.709,1328.198,1521.066,1440.199,1012.748,1676.016,1596.181,1115.113,1186.593,1568.969,1230.138,1748.504,1628.734,1387.877,1514.897,990.811,1721.203,1498.779,1523.048,1484.559,1813.379,1379.835,1068.412,1128.934,1270.203,1436.927,1072.424,930.974,1076.670,904.513,1274.213,1574.407,1186.340,1248.735,1228.415,1573.297,1376.550,1395.465,1208.263
357,572.855,1474.399,1329.737,1312.759,1684.018,1624.194,1243.114,1328.467,1514.543,1449.232,1016.594,1678.256,1601.835,1120.682,1182.348,1573.646,1231.617,1748.812,1636.505,1383.780,1513.258,991.852,1725.881,1493.500,1528.626,1485.109,1793.146,1372.115,1063.332,1135.041,1259.818,1435.438,1068.364,933.450,1084.129,902.715,1281.377,1576.573,1180.228,1245.781,1240.149,1574.698,1369.611,1385.319,1211.362
358,573.208,1477.223,1331.805,1313.700,1687.287,1607.779,1245.847,1328.689,1512.869,1458.582,1011.487,1667.860,1602.916,1120.798,1192.172,1577.753,1232.577,1745.134,1632.404,1385.560,1503.439,991.892,1716.051,1488.827,1514.489,1492.375,1796.229,1381.478,1052.498,1131.194,1266.228,1440.076,1073.413,928.192,1086.906,899.925,1278.736,1576.106,1187.398,1244.819,1226.802,1576.946,1373.479,1402.073,1208.310
359,570.842,1480.075,1332.031,1307.129,1685.431,1613.919,1239.926,1324.564,1523.255,1455.604,1007.576,1670.874,1605.804,1118.699,1189.284,1578.802,1233.063,1738.177,1630.005,1388.171,1511.906,993.433,1711.681,1503.087,1530.770,1485.114,1786.288,1377.424,1062.890,1133.786,1272.212,1440.857,1077.693,934.010,1087.343,904.461,1273.719,1571.639,1185.624,1243.735,1230.695,1575.409,1374.686,1396.345,1202.212
360,572.403,1486.567,1333.842,1308.075,1686.894,1614.507,1245.516,1329.702,1528.541,1455.438,1010.480,1668.647,1598.246,1122.754,1184.360,1584.047,1232.810,1741.735,1633.508,1384.887,1506.749,991.260,1709.059,1492.476,1529.420,1484.586,1776.038,1366.043,1060.106,1129.058,1262.831,1431.980,1072.420,931.372,1094.296,910.262,1274.414,1583.047,1184.758,1237.140,1235.063,1580.017,1366.619,1399.598,1209.720
361,566.648,1489.288,1326.455,1306.392,1687.134,1620.567,1243.398,1327.001,1512.862,1448.375,1010.167,1670.687,1609.084,1124.359,1183.735,1575.830,1234.603,1744.388,1635.282,1384.972,1510.534,989.999,1716.593,1504.696,1524.331,1484.604,1796.521,1375.438,1052.072,1130.815,1270.460,1433.949,1073.728,933.449,1100.495,905.411,1274.038,1575.197,1184.223,1245.046,1235.338,1581.145,1362.549,1395.240,1205.377
