 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59,Mean60,Mean61,Mean62,Mean63,Mean64,Mean65,Mean66,Mean67
3871,772.313,3265.645,2460.575,2805.765,3133.253,3023.352,3069.308,2843.382,3154.068,2485.425,2550.187,2753.968,2261.162,2457.839,3016.424,3339.347,2911.443,2981.193,2359.222,2004.006,2415.110,1937.771,1918.448,2027.087,2401.030,1453.000,1655.055,2218.315,2378.523,1762.746,2326.878,2366.787,2480.303,2024.475,3031.785,2138.163,2448.017,1937.624,2236.021,2237.007,2267.552,2503.908,2316.476,2225.165,3151.187,3100.128,2407.416,2479.980,1777.717,1318.411,1935.260,2010.643,5516.746,1768.979,1852.736,1554.609,2329.275,2932.344,2770.767,2296.146,2646.162,2846.253,2783.062,2762.900,2693.019,2668.687,1722.385
3872,768.904,3264.706,2456.941,2804.972,3127.894,3019.578,3064.495,2843.017,3157.087,2485.890,2534.498,2778.113,2266.615,2463.531,3016.793,3314.931,2910.896,2963.411,2358.525,1981.528,2419.606,1914.315,1906.673,2026.165,2386.183,1451.682,1669.731,2205.057,2379.944,1762.616,2319.493,2368.691,2474.694,2032.027,3025.859,2126.845,2437.164,1944.931,2248.594,2246.225,2251.658,2497.784,2293.746,2232.870,3126.694,3086.811,2401.326,2464.900,1755.921,1313.600,1944.949,2002.638,5478.691,1777.366,1844.170,1551.039,2334.238,2920.740,2764.124,2294.056,2635.816,2858.446,2758.568,2790.901,2664.400,2666.791,1717.089
3873,771.012,3287.227,2480.844,2805.409,3134.972,3051.332,3085.990,2859.596,3158.466,2490.307,2565.346,2767.557,2264.960,2479.434,3029.099,3336.405,2913.560,3000.271,2360.041,1991.147,2425.951,1934.884,1924.078,2041.008,2385.082,1457.020,1668.099,2238.435,2389.688,1763.134,2343.113,2386.012,2508.017,2045.231,3029.013,2138.797,2454.473,1943.598,2246.053,2234.879,2259.263,2494.511,2318.605,2254.379,3156.246,3094.593,2399.880,2495.451,1777.895,1322.920,1954.391,2021.234,5497.035,1775.670,1840.442,1553.684,2340.934,2942.936,2783.525,2294.562,2631.936,2881.638,2771.847,2760.336,2693.541,2667.523,1730.586
3874,763.724,3289.018,2469.171,2824.899,3150.612,3041.354,3080.152,2847.891,3173.034,2486.546,2548.394,2766.737,2266.820,2457.639,3030.943,3352.985,2925.769,2969.879,2356.389,1999.688,2433.835,1925.992,1925.863,2032.919,2403.577,1453.774,1666.808,2242.825,2385.439,1762.960,2318.928,2384.181,2492.772,2038.605,3033.860,2137.795,2438.491,1916.621,2248.350,2243.792,2250.887,2527.047,2303.992,2234.889,3139.881,3082.439,2412.869,2480.353,1761.513,1310.501,1963.622,2017.381,5513.245,1773.834,1858.115,1551.875,2345.548,2910.664,2780.965,2298.883,2644.381,2860.444,2768.236,2793.924,2683.513,2678.126,1720.438
3875,765.424,3291.256,2470.956,2822.938,3133.466,3025.151,3064.967,2852.394,3160.777,2490.331,2557.935,2769.086,2279.431,2460.301,3033.987,3312.287,2921.279,2996.271,2368.247,2011.059,2448.758,1930.596,1913.724,2035.080,2397.353,1459.062,1676.664,2245.549,2380.751,1757.690,2334.321,2370.251,2502.311,2036.750,3021.284,2145.088,2465.607,1927.276,2255.516,2242.072,2271.195,2505.127,2318.627,2246.048,3151.448,3105.855,2413.292,2489.346,1771.644,1323.477,1962.701,2016.543,5507.252,1781.909,1852.661,1555.050,2357.679,2939.767,2781.260,2284.385,2651.731,2879.122,2777.672,2771.066,2699.074,2673.785,1730.740
3876,766.133,3282.027,2461.496,2814.329,3143.274,3027.589,3062.912,2844.057,3165.960,2493.982,2553.348,2779.057,2275.917,2478.572,3017.228,3333.610,2918.392,2978.378,2355.466,1998.318,2442.119,1926.869,1922.313,2035.824,2400.492,1455.531,1666.487,2240.106,2382.065,1747.384,2317.106,2363.948,2479.208,2051.306,3041.061,2140.808,2450.771,1943.310,2245.345,2239.231,2261.385,2526.692,2322.284,2235.382,3150.566,3097.450,2422.496,2495.017,1770.794,1311.118,1970.236,2008.650,5509.449,1784.229,1846.583,1563.265,2331.139,2936.892,2777.511,2290.104,2652.279,2872.351,2748.132,2770.201,2707.313,2670.061,1728.570
3877,764.449,3290.647,2462.540,2810.319,3137.846,3017.690,3059.681,2857.875,3165.814,2490.198,2543.578,2783.474,2267.780,2481.153,3024.869,3341.375,2919.023,2983.758,2357.375,1990.517,2446.954,1922.616,1915.542,2029.338,2397.792,1461.039,1665.613,2227.069,2374.734,1750.135,2331.799,2374.714,2488.850,2035.418,3030.903,2136.846,2459.137,1921.720,2245.257,2242.053,2252.158,2519.154,2311.375,2243.961,3133.147,3086.988,2409.693,2505.372,1758.191,1321.280,1965.533,2017.056,5518.616,1776.877,1855.399,1552.734,2333.225,2938.626,2769.015,2281.905,2642.919,2871.161,2764.674,2784.533,2683.093,2662.019,1726.260
3878,771.214,3296.980,2467.672,2821.705,3129.799,3034.587,3073.318,2854.108,3172.131,2496.287,2560.493,2781.841,2279.024,2487.338,3021.953,3343.575,2930.001,2990.851,2353.875,2002.916,2423.540,1930.408,1918.480,2027.660,2395.154,1456.880,1660.367,2242.634,2386.301,1755.583,2333.686,2382.842,2488.916,2039.338,3047.561,2136.336,2455.099,1924.475,2253.597,2239.450,2263.200,2524.193,2307.477,2236.850,3161.004,3092.782,2411.187,2491.343,1765.740,1322.365,1980.808,2007.021,5509.719,1792.964,1847.164,1552.910,2339.282,2907.646,2785.124,2288.424,2644.984,2872.948,2780.860,2779.837,2689.118,2673.790,1727.138
3879,763.765,3289.494,2458.061,2812.806,3140.691,3021.364,3071.148,2851.364,3165.395,2487.040,2554.524,2768.990,2284.265,2464.165,3021.878,3314.595,2918.189,3000.734,2352.681,1985.121,2431.423,1923.333,1928.466,2029.728,2393.373,1457.225,1675.490,2240.504,2375.617,1744.581,2324.398,2377.287,2490.114,2046.423,3031.167,2141.545,2445.786,1943.030,2236.897,2219.112,2261.677,2523.002,2308.313,2248.080,3141.353,3097.315,2428.187,2506.431,1753.269,1310.733,1974.577,2017.620,5500.048,1791.916,1858.161,1557.304,2327.548,2926.942,2772.692,2293.591,2632.326,2847.586,2763.842,2782.749,2686.876,2680.044,1724.777
3880,765.802,3294.921,2463.774,2807.763,3131.960,3027.306,3067.854,2847.474,3145.445,2487.564,2533.736,2780.355,2271.059,2481.001,3023.860,3333.678,2912.274,2996.942,2357.784,1995.850,2430.006,1930.520,1916.719,2023.145,2397.169,1464.313,1676.511,2239.429,2395.082,1741.000,2313.290,2385.288,2475.069,2039.342,3039.026,2135.955,2433.948,1931.301,2250.527,2212.029,2235.780,2525.293,2309.413,2252.773,3138.183,3090.561,2413.789,2486.012,1755.130,1315.340,1984.202,2010.005,5478.374,1790.713,1860.830,1557.663,2330.562,2932.540,2756.786,2305.264,2636.881,2875.137,2806.409,2795.765,2682.633,2676.031,1725.218
