 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23
3686,737.737,2041.871,1556.935,1710.026,1721.093,2139.644,2109.078,2113.465,1793.351,1730.224,1165.930,1725.799,1363.784,2010.507,3099.489,1728.496,1521.782,2103.023,1788.148,1750.315,1317.096,2862.559,1262.810
3687,733.318,2048.526,1553.935,1719.453,1731.827,2143.829,2117.582,2125.723,1805.113,1733.190,1169.057,1731.473,1368.955,2015.463,3112.103,1734.443,1529.314,2103.074,1791.699,1748.511,1322.538,2877.198,1271.388
3688,734.366,2040.825,1550.948,1705.233,1721.927,2138.260,2109.516,2112.666,1799.694,1723.154,1164.969,1721.165,1366.597,2007.777,3109.868,1724.957,1514.499,2086.335,1799.007,1742.065,1316.354,2859.261,1261.012
3689,732.497,2044.156,1554.889,1714.488,1726.937,2149.857,2118.933,2119.777,1808.462,1733.730,1168.432,1734.359,1364.227,2020.999,3114.167,1729.526,1515.982,2095.753,1789.394,1748.761,1318.538,2867.505,1262.732
3690,737.841,2046.448,1557.796,1714.458,1731.969,2148.496,2122.410,2127.129,1802.328,1731.835,1168.495,1733.608,1374.456,2018.401,3115.516,1734.437,1517.705,2097.790,1799.585,1748.427,1318.930,2867.946,1262.460
3691,740.873,2046.715,1559.589,1714.223,1734.082,2153.143,2114.983,2114.472,1802.267,1736.826,1167.143,1732.323,1371.182,2019.540,3125.692,1734.953,1522.308,2088.902,1806.372,1748.153,1314.623,2870.734,1266.988
3692,740.416,2041.940,1556.171,1716.898,1737.824,2150.655,2117.427,2116.760,1805.793,1735.444,1168.622,1731.087,1373.547,2015.497,3107.216,1739.269,1524.042,2091.154,1805.860,1745.753,1320.656,2869.914,1263.430
3693,739.799,2044.886,1552.417,1718.375,1737.148,2137.487,2111.007,2119.498,1798.637,1735.392,1170.728,1729.104,1374.786,2020.631,3107.807,1740.818,1520.120,2092.929,1798.840,1748.107,1321.226,2872.980,1264.101
3694,735.256,2041.373,1556.558,1713.572,1724.115,2141.045,2104.516,2108.091,1803.949,1725.700,1166.113,1719.467,1365.349,2022.060,3102.168,1728.617,1514.766,2078.881,1790.156,1737.491,1315.551,2863.886,1257.448
3695,740.187,2047.442,1556.033,1713.940,1732.644,2148.560,2116.501,2117.872,1798.192,1731.585,1167.784,1728.861,1371.630,2026.322,3101.266,1742.377,1521.179,2081.080,1800.445,1746.401,1317.887,2871.181,1262.206
3696,737.437,2040.941,1555.179,1712.849,1731.605,2148.902,2108.981,2110.284,1801.723,1726.975,1166.526,1722.234,1369.198,2020.875,3099.908,1735.972,1519.845,2081.749,1798.121,1745.065,1308.317,2866.465,1257.450
3697,735.205,2051.972,1558.271,1717.180,1735.393,2161.330,2112.284,2118.693,1802.754,1734.095,1168.876,1729.420,1374.828,2022.001,3121.275,1746.570,1525.559,2091.210,1805.506,1749.115,1319.736,2881.039,1260.050
