Cell 153,Cell 239
-198.46463,8.884569
-217.55984,8.878304
-235.80261,8.872316
144.60022,8.866594
110.18988,8.861126
77.315674,8.855901
45.909058,8.850906
15.90448,8.846135
-12.76062,8.841575
-40.146057,8.837216
574.1163,8.833052
520.53143,8.829073
469.3388,8.82527
420.43146,8.821634
373.70746,8.818162
329.06934,8.814842
286.42395,8.811671
245.68231,8.80864
206.75946,8.805743
169.57422,8.802975
134.04901,8.80033
100.10968,8.797802
875.96857,8.795386
957.684,8.793078
886.976,8.790872
819.4245,8.788764
754.8886,8.786749
693.2337,8.784823
634.33124,8.782984
578.0583,8.781226
524.29755,8.779545
472.9367,8.77794
423.8687,8.776405
376.99127,8.774939
332.20654,8.773538
289.42108,8.772199
248.54565,8.770919
209.495,8.769696
172.18762,44.956238
136.54572,43.34944
102.494934,41.813942
69.964294,40.346573
38.885864,38.944313
9.194824,37.60427
-19.170715,36.32369
-46.26996,35.099926
-72.159485,33.93046
-96.89325,32.812893
120.97485,31.744905
87.6192,30.724306
55.752625,29.748995
25.308655,28.816957
-3.776245,27.926275
-31.562744,27.075113
-58.108826,103.17438
-83.46979,98.9844
-107.69861,94.98032
322.83142,91.153915
520.88385,87.49729
713.7105,345.89124
653.894,330.9317
596.74774,358.3111
542.15265,342.80048
916.55914,327.9781
847.68695,313.8134
781.88934,300.27716
719.0291,287.34155
658.97516,274.97992
601.6021,263.16678
546.79034,251.87782
494.42548,241.08975
444.39825,230.78035
402.62506,220.92839
356.69598,211.51357
312.81726,202.51648
270.8974,193.91861
230.84888,185.70221
192.58826,177.8504
156.03564,170.34698
121.11481,163.1765
358.66498,156.32417
314.69836,149.7759
272.69452,143.51816
232.5658,137.53809
1170.1946,131.82335
3479.4492,126.36219
3296.1646,121.14335
3121.062,116.15607
2953.7764,111.390076
2793.9587,106.835556
2641.2756,102.48312
3583.0103,98.323814
3395.1023,94.349045
3215.583,124.24587
3044.078,119.12093
2880.229,114.22339
2723.6946,128.30785
2574.1482,123.00267
2431.2778,117.93289
3728.2026,113.08806
3533.813,108.4582
4637.933,104.03377
4402.931,99.80566
4682.463,95.76514
4445.473,91.90391
4219.063,88.214005
4002.7603,84.68783
4121.3857,81.31811
4825.617,78.09791
4582.237,75.02059
4410.128,72.07982
4185.296,69.26952
3970.5005,66.58393
3765.2944,64.017494
3569.249,61.564938
