Cell 121,Cell 255,Cell 370,Cell 372,Cell 375,Cell 378,Cell 388,Cell 390,Cell 396,Cell 409
175.08467,1562.6063,242.81633,156.9272,134.02853,130.91415,302.80722,86.79802,170.87244,318.23676
175.08467,1426.1654,242.81633,156.9272,134.02605,130.91415,297.9386,86.79802,169.10942,318.23676
175.08467,1297.3584,242.81633,156.9272,134.02385,130.91415,293.2773,86.79802,167.47926,318.23676
175.08467,1175.7588,242.81633,156.9272,134.0219,130.91415,288.81448,86.79802,165.97197,318.23676
175.08467,1893.2709,242.81633,156.9272,134.02017,130.91415,284.54172,86.79802,164.57826,318.23676
175.08467,1738.3285,242.81633,156.9272,134.01863,130.91415,280.45087,86.79802,163.28961,318.23676
175.08467,1592.0557,242.81633,156.9272,134.01729,130.91415,276.53424,86.79802,162.09807,318.23676
175.08467,1453.9669,242.81633,156.9272,134.01608,130.91415,272.7844,86.79802,160.99634,318.23676
175.08467,1323.6045,242.81633,156.9272,134.01501,130.91415,269.19424,86.79802,159.97763,318.23676
175.08467,1200.5364,242.81633,156.9272,134.01407,130.91415,265.75693,86.79802,159.0357,318.23676
175.08467,1409.7079,242.81633,156.9272,134.01324,130.91415,262.466,86.79802,158.16476,318.23676
175.08467,1281.822,242.81633,156.9272,134.0125,130.91415,503.7606,86.79802,157.35947,318.23676
175.08467,1161.0913,242.81633,156.9272,134.01184,130.91415,490.3348,86.79802,156.61485,318.23676
175.08467,1047.1157,242.81633,156.9272,134.01126,130.91415,477.48074,86.79802,155.92636,318.23676
175.08467,939.51733,242.81633,156.9272,134.01074,130.91415,465.17404,86.79802,155.28976,318.23676
175.08467,837.93915,242.81633,156.9272,134.01028,130.91415,453.3914,86.79802,154.70114,318.23676
175.08467,742.0443,242.81633,156.9272,134.00989,130.91415,442.11047,86.79802,154.15689,318.23676
175.08467,651.515,242.81633,156.9272,134.00952,130.91415,431.30994,86.79802,153.65364,318.23676
175.08467,1043.0474,242.81633,156.9272,134.00922,130.91415,420.96933,86.79802,153.18832,318.23676
175.08467,935.6766,242.81633,156.9272,134.00893,130.91415,411.06903,86.79802,152.75809,318.23676
175.08467,834.3133,242.81633,156.9272,134.00868,130.91415,401.5903,86.79802,152.36026,318.23676
175.08467,1594.1792,242.81633,156.9272,134.00845,130.91415,392.51523,86.79802,151.99243,318.23676
175.08467,1455.9716,242.81633,156.9272,134.00827,130.91415,383.82657,86.79802,151.65231,318.23676
175.08467,2062.8708,242.81633,156.9272,134.00809,130.91415,375.50793,86.79802,151.33783,318.23676
175.08467,1898.4395,242.81633,156.9272,134.00793,130.91415,367.5435,86.79802,151.04706,318.23676
175.08467,1743.2081,242.81633,156.9272,134.0078,130.91415,359.91824,86.79802,150.77818,318.23676
175.08467,1596.6622,242.81633,156.9272,134.00768,130.91415,352.61768,86.79802,150.52959,318.23676
175.08467,1458.3159,242.81633,156.9272,134.00757,130.91415,345.62796,86.79802,150.29973,318.23676
175.08467,1327.7101,242.81633,156.9272,134.00748,130.91415,338.93594,86.79802,150.08717,318.23676
175.08467,2022.4766,242.81633,156.9272,134.0074,130.91415,332.52884,86.79802,149.89066,318.23676
175.08467,1860.3053,242.81633,156.9272,134.00732,130.91415,326.3946,86.79802,149.70894,318.23676
175.08467,1707.2075,242.81633,156.9272,134.00725,130.91415,320.52155,86.79802,149.54092,318.23676
175.08467,1562.676,242.81633,156.9272,134.0072,130.91415,314.8986,86.79802,149.38557,318.23676
175.08467,1722.0703,242.81633,156.9272,134.00714,130.91415,309.51508,86.79802,149.24193,318.23676
175.08467,1576.707,242.81633,156.9272,134.0071,130.91415,304.36084,86.79802,149.10912,318.23676
175.08467,1439.4768,242.81633,156.9272,202.32019,130.91415,299.42606,86.79802,148.9863,318.23676
175.08467,1309.9253,242.81633,156.9272,194.53244,130.91415,294.7014,86.79802,148.87274,318.23676
175.08467,1187.6222,242.81633,156.9272,187.6325,130.91415,290.17792,86.79802,148.76775,318.23676
175.08467,1072.1622,242.81633,156.9272,181.51917,130.91415,285.84708,86.79802,148.67067,318.23676
175.08467,963.1624,242.81633,156.9272,176.10275,130.91415,281.70068,86.79802,148.5809,318.23676
175.08467,860.2613,242.81633,156.9272,171.3038,130.91415,277.73083,86.79802,148.4979,318.23676
175.08467,1487.4214,242.81633,156.9272,167.05194,130.91415,273.93002,86.79802,148.42116,318.23676
175.08467,1355.1874,242.81633,156.9272,163.28477,130.91415,270.29108,86.79802,148.35019,318.23676
175.08467,1230.3519,242.81633,156.9272,159.94708,130.91415,266.80707,86.79802,148.28458,318.23676
175.08467,1112.5011,242.81633,156.9272,156.98988,130.91415,263.47144,86.79802,148.2239,318.23676
