Cell 19,Cell 25,Cell 59
18.194407,20.649126,4.635676
18.194407,20.544317,4.6356664
18.194407,20.44677,4.635657
18.194407,20.355982,4.6356483
18.194407,20.271486,4.63564
18.194407,20.192842,4.6356325
18.194407,20.11965,4.635625
18.194407,20.051527,4.635618
18.194407,19.988125,4.635612
18.194407,19.929115,4.635606
18.194407,19.874195,4.6356
18.194407,19.82308,4.635595
18.194407,19.775507,4.6355896
18.194407,19.73123,4.6355853
18.194407,19.69002,4.6355805
18.194407,19.651667,4.6355767
18.194407,19.615969,4.6355724
18.194407,19.582747,4.635569
18.194407,19.551825,4.6355653
18.194407,19.523046,4.635562
18.194407,19.496262,4.635559
18.194407,19.471333,4.635556
18.194407,19.448132,4.6355534
18.194407,19.426537,4.635551
18.194407,19.406439,4.6355486
18.194407,19.387733,4.635546
18.194407,19.370325,4.6355443
18.194407,19.354122,4.635542
18.194407,19.33904,4.63554
18.194407,19.325006,4.6355386
18.194407,19.311943,4.6355367
18.194407,19.299786,4.6355352
24.603695,19.28847,4.635534
24.167011,19.277939,4.6355324
23.760078,19.268137,4.635531
23.380873,19.259014,4.63553
23.027502,19.250523,4.6355286
22.698208,19.24262,4.6355276
22.391352,19.235266,4.6355267
22.1054,19.228422,4.6355257
21.838932,19.22205,4.6355247
21.59062,19.216122,4.635524
21.359226,19.210602,4.635523
21.143597,19.205467,4.6355224
20.94266,19.200686,4.6355214
20.755413,19.196238,4.635521
20.580923,19.192097,4.6355205
20.418324,19.188242,4.63552
20.2668,19.184656,4.635519
20.125603,19.181316,4.6355186
19.994024,19.17821,4.635518
19.87141,19.175318,4.6355176
19.75715,19.172626,4.635517
19.650677,19.170122,4.635517
19.551456,19.167791,4.6355166
19.458996,19.16562,4.635516
19.372835,19.1636,4.6355157
19.292545,19.161722,4.6355157
19.217726,19.159973,4.635515
19.148005,19.158344,4.6355147
19.083033,19.15683,4.6355147
19.022488,19.155418,4.6355143
18.966068,19.154106,4.6355143
18.913492,19.152884,4.635514
18.864498,19.151747,4.635514
18.818844,19.15069,4.6355133
18.776299,19.149704,4.6355133
18.736652,19.148788,4.6355133
18.699707,19.147934,4.635513
18.66528,19.14714,4.635513
18.633198,19.146402,4.635513
18.603302,19.145714,4.6355124
18.575443,19.145073,4.6355124
31.29771,19.144478,4.6355124
30.404942,19.143923,4.6355124
29.573002,19.143408,4.6355124
28.797743,19.142927,4.635512
28.075306,19.142479,4.635512
27.402088,19.142063,4.635512
26.774742,19.141676,4.635512
26.190136,19.141315,4.635512
25.645363,19.14098,4.6355114
25.137707,19.140669,4.6355114
24.664639,19.140377,4.6355114
24.2238,19.140108,4.6355114
23.813,19.139856,4.6355114
23.43019,19.139622,4.6355114
23.07346,19.139402,4.6355114
22.741034,19.1392,4.6355114
22.43126,19.139011,4.635511
22.14259,19.138836,4.635511
21.873587,19.138672,4.635511
48.65594,19.13852,4.635511
46.580505,19.138378,4.635511
44.64647,19.138247,4.635511
42.84421,19.138123,4.635511
41.164745,19.13801,4.635511
39.59971,19.137903,4.635511
38.141296,19.137804,4.635511
36.782257,19.137712,4.635511
35.51581,19.137627,4.635511
34.335648,19.137547,4.635511
33.235893,19.137472,4.635511
32.211075,19.137403,4.635511
31.256075,19.137339,4.635511
30.366142,19.13728,4.635511
