Cell 0,Cell 4,Cell 26,Cell 70
189.01167,39.607956,93.669014,10.0987
153.0053,39.60581,93.56361,10.0987
119.205826,39.603783,93.46316,10.0987
87.4779,39.601864,93.36743,10.0987
57.694622,39.60005,93.2762,10.0987
29.736746,39.59834,93.18926,10.0987
3.4924407,39.59672,93.10641,10.0987
-21.143343,39.59519,93.02744,10.0987
-44.26921,39.593742,92.9522,10.0987
-65.97767,39.592373,92.88049,10.0987
-86.3556,39.591084,92.81215,10.0987
-105.48456,39.58986,92.747025,10.0987
-123.441086,39.588703,92.68496,10.0987
-140.29709,39.587612,92.62582,10.0987
-156.11995,39.58658,92.56945,10.0987
-170.97302,39.585606,92.51573,10.0987
-184.91574,39.584682,92.46454,10.0987
-198.0039,39.58381,92.41576,10.0987
-28.461622,39.582985,92.36927,10.0987
-51.138905,39.582207,92.32496,10.0987
43.045338,39.58147,92.28274,10.0987
15.985353,39.580772,92.24249,10.0987
-9.416146,39.580116,92.20415,10.0987
-33.260757,39.579494,92.1676,10.0987
-55.64391,39.578907,92.132774,10.0987
-76.655205,39.57835,92.099594,10.0987
14.691009,39.577824,92.06796,10.0987
-10.6311455,39.577328,92.03782,10.0987
-34.40127,39.57686,92.009094,10.0987
-56.71453,39.576416,91.98172,10.0987
-77.66021,39.575996,91.95563,10.0987
-42.912357,39.5756,91.93077,10.0987
-64.70397,39.575226,91.90708,10.0987
-85.15997,39.57487,91.8845,10.0987
-104.3622,39.574535,91.862976,10.0987
-122.387535,39.57422,91.842476,10.0987
-35.05448,39.573917,91.82294,10.0987
-57.327705,39.573635,91.80431,10.0987
-78.23578,39.573368,91.78656,10.0987
282.70062,39.573116,91.76965,10.0987
240.95203,39.572876,91.753525,10.0987
201.76222,39.57265,91.73817,10.0987
164.97433,39.572437,91.723526,10.0987
130.4413,39.572235,91.70958,10.0987
98.02474,39.572044,91.69628,10.0987
67.59502,39.571865,91.68361,10.0987
39.03035,39.571693,91.67154,10.0987
12.216423,39.571533,91.660034,10.0987
-12.954034,39.57138,91.64906,10.0987
-36.58182,39.571236,91.63862,10.0987
-58.76145,39.5711,91.628654,10.0987
-79.58167,39.570972,91.61916,10.0987
-99.12579,39.57085,91.61012,10.0987
-117.47209,39.570736,91.6015,10.0987
-134.69391,39.570625,91.59329,10.0987
166.76541,39.570522,91.585464,10.0987
132.12251,39.570427,91.578,10.0987
99.6029,39.570335,91.57089,10.0987
69.07647,39.570248,91.56412,10.0987
40.42102,39.570164,91.55766,10.0987
13.521862,39.570087,91.551506,10.0987
-11.728643,39.570015,91.54564,10.0987
-35.431507,39.569946,91.540054,10.0987
-57.68164,39.56988,91.53473,10.0987
-78.56806,39.569817,91.529655,10.0987
-98.1743,39.56976,91.52482,10.0987
-116.57891,39.569706,91.5202,10.0987
-133.85545,39.569653,91.51581,10.0987
-150.07314,39.569603,91.51163,10.0987
-37.304005,39.569557,91.50764,10.0987
-59.439346,39.56951,91.50384,10.0987
-80.218025,39.56947,91.50021,10.0987
-99.723145,39.56943,91.49676,10.0987
-118.0328,39.569393,91.49347,10.0987
-135.22023,39.56936,91.49034,10.0987
-151.35428,39.569324,91.48734,10.0987
-166.49944,39.569294,91.4845,10.0987
-180.71634,39.569263,91.48179,10.0987
49.247044,39.569237,91.4792,10.0987
21.806934,39.56921,91.47673,10.0987
-3.95135,39.569183,91.47438,10.0987
-28.130928,39.56916,91.472145,10.0987
-50.828484,39.569138,91.47001,10.0987
-72.13492,39.569115,91.46798,10.0987
-92.13548,39.569096,91.46604,10.0987
-110.91018,39.569077,91.464195,10.0987
-128.53418,39.569057,91.46244,10.0987
-145.078,39.569042,91.46076,10.0987
-160.60785,39.569027,91.45916,10.0987
-175.18585,39.56901,91.457634,10.0987
-188.87036,39.568996,91.456184,10.0987
-201.71614,39.56898,91.4548,10.0987
-213.7746,39.56897,91.45348,10.0987
-225.094,39.56896,91.452225,10.0987
-235.71962,39.568947,91.451035,10.0987
50.336906,39.568935,91.4499,10.0987
22.830006,39.568924,91.44881,10.0987
-2.9909532,39.568916,91.44776,10.0987
-27.22936,39.568905,91.44678,10.0987
-49.982204,39.568897,91.44584,10.0987
194.37842,39.56889,91.44495,10.0987
182.22662,39.568882,91.444084,10.0987
230.49084,39.568874,91.443275,10.0987
191.94218,39.568867,91.4425,10.0987
552.2951,39.568863,91.44176,132.68077
494.02292,39.568855,91.441055,126.738235
439.3223,39.568848,91.440384,121.083786
449.79214,39.568844,91.43974,115.70345
690.13617,39.56884,91.43913,110.58395
676.1586,39.568832,91.43855,659.95496
610.2948,39.56883,91.437996,1434.6364
660.2004,39.568825,91.43747,2331.0706
595.31464,39.56882,91.436966,4349.0645
534.4058,39.568817,91.436485,5034.3076
707.0626,39.568813,91.436035,5722.9697
639.3047,39.56881,91.43559,5473.761
575.6997,39.568806,91.43518,5354.826
515.9931,39.5688,91.434784,5334.512
459.94595,39.568798,91.43441,5076.395
407.33395,39.568798,91.43405,4830.791
357.94656,39.568794,91.4337,4597.0933
311.58615,39.56879,91.43338,4957.6074
268.06717,39.56879,91.433075,4717.762
227.21547,39.568787,91.43278,4489.544
188.86757,39.568787,91.43249,4484.452
152.87007,39.568783,91.43221,4267.5444
119.07887,39.568783,91.43196,4061.1519
87.35874,39.56878,91.43172,3864.765
57.582745,39.56878,91.43148,4242.21
29.631723,39.568775,91.43127,4037.0457
3.3938386,39.568775,91.43105,3841.8274
-21.235891,39.56877,91.430855,3666.716
-44.35607,39.56877,91.430664,3782.578
-66.0592,39.56877,91.43048,3903.071
-86.43212,39.568768,91.430305,3800.14
-0.6013116,39.568768,91.43014,3797.8083
72.84229,39.568768,91.42998,3614.1877
336.17975,39.568768,91.429825,3735.323
291.15338,39.568764,91.42968,3670.1682
248.88672,39.568764,91.42954,3676.0376
209.21063,39.568764,91.42941,3498.32
171.96631,39.568764,91.42929,4046.2783
137.0047,39.56876,91.42917,3850.6123
104.18589,39.56876,91.429054,3664.432
73.37855,39.56876,91.42895,3487.277
188.07355,39.56876,91.42885,3318.7104
152.1247,39.56876,91.42875,3158.3154
118.37915,39.56876,91.42865,3618.9717
86.701904,39.568756,91.428566,3444.0208
56.96616,39.568756,91.42848,3277.551
29.05295,39.568756,91.4284,3700.489
2.8505578,39.568756,91.42833,3630.8777
-21.745878,39.568756,91.42825,3684.5605
-44.834805,39.568756,91.428185,3506.43
-66.508606,39.568756,91.428116,3504.1858
-86.854004,39.568756,91.42805,3334.7993
-105.95242,39.568756,91.427986,3173.6245
-123.88028,39.568752,91.42793,3020.2632
-140.70935,39.568752,91.42787,3714.5398
-156.50694,39.568752,91.427826,3534.9558
-171.3363,39.568752,91.42778,3364.0776
-185.25676,39.568752,91.42773,3201.4834
-198.32402,39.568752,91.42768,3046.7715
-210.5904,39.568752,91.42764,2899.5596
-222.10495,39.568752,91.4276,3190.9856
-232.91377,39.568752,91.42756,3406.9941
-243.06012,39.568752,91.42753,3242.3193
-252.5846,39.568752,91.42749,3212.5818
-261.52533,39.568752,91.42745,3170.514
-269.91803,39.568752,91.42742,3097.8875
-277.7964,39.568752,91.42739,2948.1975
-285.19186,39.568752,91.42736,2805.7644
-292.13406,39.568752,91.42733,2834.1729
-298.65076,39.568752,91.42731,2697.2673
-304.76807,39.568752,91.427284,2566.9988
-310.51044,39.568752,91.42725,2796.2642
57.503693,39.568752,91.42724,2661.1963
29.557526,39.56875,91.42721,2875.9338
143.60693,39.56875,91.42719,2882.1829
110.38345,39.56875,91.42717,2742.95
79.19626,39.56875,91.42715,2610.4668
49.920563,39.56875,91.42713,2484.4062
22.439178,39.56875,91.42712,2364.4568
-3.357849,39.56875,91.4271,2522.0706
-27.573792,39.56875,91.42708,2455.701
-50.30551,39.56875,91.42707,2380.2634
-71.64401,39.56875,91.427055,2775.0205
-91.67465,39.56875,91.42705,2640.9827
-110.4776,39.56875,91.427025,2906.7263
-11.383942,39.56875,91.42702,2766.3035
-35.10794,39.56875,91.427,2632.6882
-57.3779,39.56875,91.426994,2694.4912
414.88232,39.56875,91.42699,2564.3572
365.0323,39.56875,91.42697,2440.5317
415.46008,39.56875,91.42696,2322.7092
365.5746,39.56875,91.42695,2682.028
318.74664,39.56875,91.42694,2569.659
274.78876,39.56875,91.42693,2445.5767
233.52509,39.56875,91.42693,2736.817
194.79047,39.56875,91.426926,2604.631
158.42993,39.56875,91.42691,2741.123
124.29797,39.56875,91.4269,2608.7285
92.257965,39.56875,91.426895,2482.7522
223.1087,39.56875,91.426895,2362.8828
185.01251,39.56875,91.42689,2248.8245
351.61298,39.56875,91.42688,2438.4617
390.86987,39.56875,91.42688,2320.7395
342.49158,39.56875,91.42687,2208.724
297.07837,39.56875,91.426865,2102.1392
254.44855,39.56875,91.426865,2000.7213
214.43152,39.56875,91.42686,2101.5803
176.86719,39.56875,91.42685,2000.1896
141.60516,39.56875,91.42684,1903.714
324.6009,39.56875,91.42684,1811.9153
280.28424,39.56875,91.42684,1821.832
238.68378,39.56875,91.426834,1734.0028
199.633,39.56875,91.426834,1975.0986
162.97565,39.56875,91.42683,1879.8394
128.56506,39.56875,91.42683,1878.7756
96.26352,39.56875,91.42683,1788.1859
65.94174,39.56875,91.42682,1701.9878
353.3471,39.56875,91.42682,1866.0802
510.35864,39.56875,91.42682,1776.106
454.6568,39.56875,91.42682,1690.4934
402.36896,39.56875,91.42681,1609.0312
353.28583,39.56875,91.42681,1531.5182
307.21106,39.56875,91.42681,1457.7628
263.9602,39.56875,91.42681,1387.583
223.36023,39.56875,91.4268,1320.8053
185.24866,39.56875,91.4268,1257.2649
149.47296,39.56875,91.4268,1196.8048
115.88995,39.56875,91.4268,1149.1627
84.365265,39.56875,91.4268,1093.9431
54.772736,39.56875,91.42679,1041.4005
26.993958,39.56875,91.42679,1129.221
0.9177551,39.56875,91.42679,1074.9681
-23.560242,39.56875,91.42679,1023.34534
-46.537964,39.56875,91.42679,974.22516
-68.10736,39.56875,91.42679,927.4862
-88.35477,39.56875,91.42679,883.01306
-107.361206,39.56875,91.42678,840.6959
-125.20273,39.56875,91.42678,800.43024
-141.95074,39.56875,91.42678,762.1165
-157.67226,39.56875,91.42678,725.6602
15.977417,39.56875,91.42678,690.9712
-9.423584,39.56875,91.42678,682.75757
11.049561,39.56875,91.42678,650.1484
-14.049408,39.56875,91.42678,619.12006
-37.610046,39.56875,91.42678,589.5959
-59.726654,39.56875,91.42678,561.503
174.30914,39.56875,91.42678,534.77203
139.20392,39.56875,91.42677,509.3369
106.250305,39.56875,91.42677,485.13483
75.31644,39.56875,91.42677,462.10602
46.278534,39.56875,91.42677,440.1936
19.020355,39.56875,91.42677,419.34344
93.1366,39.56875,91.42677,577.8843
63.00647,39.56875,91.42677,550.3592
34.723053,39.56875,91.42677,524.16846
123.38446,39.56875,91.42677,499.24738
91.40045,39.56875,91.42677,475.53442
61.37674,39.56875,91.42677,452.97104
33.193207,39.56875,91.42677,431.50146
196.97089,39.56875,91.42677,411.0727
160.47675,39.56875,91.42677,391.63428
126.2193,39.56875,91.42677,373.13818
94.06152,39.56875,91.42677,355.53876
63.874725,39.56875,91.42677,338.7925
35.538086,39.56875,91.42677,322.8581
8.938202,39.56875,91.42677,307.69614
-16.031372,39.56875,91.42677,293.2692
-39.47055,39.56875,91.42677,279.54166
-61.473114,39.56875,91.42677,266.47958
-82.12714,39.56875,91.42677,254.05075
-101.51526,39.56875,91.426765,242.22444
-119.71509,39.56875,91.426765,230.97145
-136.79944,39.56875,91.426765,220.26398
-152.83667,39.56875,91.426765,210.07558
-167.89098,39.56875,91.426765,200.3811
-182.0226,39.56875,91.426765,191.15659
24.489685,39.56875,91.426765,182.37926
-1.4330444,39.56875,91.426765,174.02744
-25.766937,39.56875,91.426765,166.08049
-48.609406,39.56875,91.426765,158.5188
-70.05185,39.56875,91.426765,151.32368
-90.180084,39.56875,91.426765,144.47737
-109.074646,39.56875,91.426765,137.96297
-126.81116,39.56875,91.426765,131.76436
-143.46059,39.56875,91.426765,125.86625
-159.08955,39.56875,91.426765,120.25407
-173.76062,39.56875,91.426765,114.913956
-187.53249,39.56875,91.426765,109.83272
