Cell 3,Cell 37,Cell 41
26.778263,38.82941,39.41955
26.660519,38.82941,38.024982
26.553104,38.82941,36.703693
26.455114,38.82941,35.45184
26.365725,38.82941,34.265774
26.284176,38.82941,33.142036
26.209785,38.82941,32.077354
26.141922,38.82941,31.068619
26.080011,38.82941,30.112898
26.023535,38.82941,29.2074
25.972013,38.82941,28.349485
25.925014,38.82941,27.536654
25.882137,38.82941,26.766539
25.843023,38.82941,26.036894
25.807343,38.82941,25.345594
25.774792,38.82941,24.690624
25.745096,38.82941,24.070068
25.718008,38.82941,23.482126
25.693295,38.82941,22.92508
25.670752,38.82941,22.397308
25.650187,38.82941,21.897274
25.631426,38.82941,21.423512
25.614311,38.82941,20.97465
25.598698,38.82941,20.549374
25.584455,38.82941,20.146448
25.57146,38.82941,19.764698
25.559608,38.82941,19.403006
25.548796,38.82941,19.060326
25.53893,38.82941,18.735651
25.529932,38.82941,19.722391
25.521723,38.82941,19.362923
25.514235,38.82941,19.022348
25.507402,38.82941,18.699669
25.501171,38.82941,18.393948
25.495485,38.82941,18.104292
25.4903,38.82941,17.829857
25.485567,38.82941,41.863766
25.48125,38.82941,40.340748
25.477314,38.82941,38.89776
25.473722,38.82941,37.53061
25.470446,38.82941,36.235302
25.467457,38.82941,35.008064
25.46473,38.82941,57.759296
25.462242,38.82941,55.400948
25.459972,38.82941,53.166534
25.457901,38.82941,51.04954
25.456013,38.82941,49.0438
25.45429,38.82941,47.14346
25.452719,38.82941,45.342987
25.451284,38.82941,43.63713
25.449976,38.82941,42.02092
25.448784,38.82941,40.48964
25.447695,38.82941,39.038834
25.446703,38.82941,37.664265
25.445797,38.82941,36.361935
25.44497,38.82941,35.128044
25.444216,38.82941,33.958992
25.44353,38.82941,32.851376
25.442902,38.82941,31.801966
25.44233,38.82941,30.807703
25.441807,38.82941,29.86569
25.44133,38.82941,28.973183
25.440895,38.82941,28.127577
25.4405,38.82941,27.326408
25.440138,38.82941,26.567343
25.439808,38.82941,25.848167
25.439507,38.82941,25.166782
25.439232,38.82941,24.521208
25.438982,38.82941,23.909557
25.438753,38.82941,23.33005
25.438545,38.82941,22.780996
25.438354,38.82941,22.260796
25.43818,38.82941,21.767933
25.438023,38.82941,21.30097
25.43788,38.82941,20.858547
25.437748,38.82941,20.439375
25.437628,38.82941,20.042229
25.437517,38.82941,19.665955
25.437418,38.82941,19.309454
25.437326,38.82941,18.971687
25.437243,38.82941,18.65167
25.437168,38.82941,18.348473
25.437098,38.82941,18.061207
25.437035,38.82941,17.789036
25.436977,38.82941,17.53117
25.436924,38.82941,17.286854
25.436876,38.82941,17.055378
25.436832,38.82941,16.836065
25.436792,38.82941,16.628279
25.436756,38.82941,16.43141
25.436724,38.82941,69.71042
25.436693,38.82941,66.72403
25.436666,38.82941,63.894573
25.43664,38.82941,61.21381
25.436617,38.82941,58.673923
25.436596,38.82941,101.11228
25.436577,38.82941,100.94129
25.43656,38.82941,128.41498
25.436544,38.82941,122.3436
25.43653,38.82941,116.59128
25.436516,38.82941,111.14124
25.436504,38.82941,105.977615
25.436493,38.82941,101.08534
25.436483,38.82941,96.450165
25.436474,38.82941,92.05856
25.436466,38.82941,87.89775
25.436459,38.82941,83.9556
25.436451,38.82941,80.220604
25.436445,38.82941,76.68189
25.43644,38.82941,73.32914
25.436434,38.82941,70.15258
25.436428,38.82941,67.14295
25.436424,38.82941,64.29149
25.43642,38.82941,61.589863
25.436417,38.82941,59.030216
25.436413,38.82941,56.60508
25.43641,38.82941,54.30739
25.436407,38.82941,52.130444
25.436405,38.82941,50.067898
25.436403,38.82941,48.113743
25.436401,38.82941,46.262276
25.4364,38.82941,44.50811
50.051365,38.82941,42.846127
47.89148,38.82941,41.27148
45.921116,38.82941,39.779587
44.123646,38.82941,38.366093
42.4839,38.82941,37.02688
40.988033,38.82941,78.973854
39.623425,38.82941,75.50066
38.378555,38.82941,72.209984
37.242924,38.82941,69.09224
36.206936,38.82941,66.13833
35.261856,38.82941,63.339653
34.3997,38.82941,60.688053
33.613197,38.82941,60.50077
32.895706,38.82941,57.998356
32.241177,38.82941,55.627445
31.644075,38.82941,53.38113
31.099371,38.82941,51.25286
30.60246,38.82941,49.236435
30.149155,38.82941,47.32597
29.735622,38.82941,45.515903
29.358377,38.82941,43.80096
29.014235,38.82941,42.176136
28.700289,38.82941,40.6367
28.41389,38.82941,39.178165
28.152624,38.82941,37.796276
27.914284,38.82941,36.487007
27.696854,38.82941,36.398483
27.498505,38.82941,47.16318
27.31756,38.82941,45.36167
27.152493,38.82941,43.654835
27.00191,38.82941,80.17638
26.864538,38.82941,91.71198
26.739222,38.82941,87.56938
26.6249,38.82941,83.644485
26.520613,38.82941,79.92584
26.425474,38.82941,76.40262
26.338684,38.82941,73.064545
26.25951,38.82941,69.90189
26.187283,38.82941,66.90544
26.121393,38.82941,64.06645
26.061285,38.82941,61.376656
26.006453,38.82941,58.828213
25.95643,38.82941,56.413692
25.910797,38.82941,54.126057
25.86917,38.82941,72.84359
25.831192,38.82941,69.69254
25.796549,38.82941,66.70709
25.764944,38.82941,63.87853
25.736115,38.82941,61.19861
25.709814,38.82941,58.659523
25.68582,38.82941,56.25387
25.663933,38.82941,53.974632
25.643965,38.82941,51.815174
25.62575,38.82941,49.769196
25.609133,38.82941,47.830734
25.593975,38.82941,45.994144
25.580147,38.82941,44.25407
25.567532,38.82941,42.605434
25.556023,38.82941,41.043438
25.545525,38.82941,39.563526
25.535948,38.82941,38.16139
