Cell 2,Cell 4,Cell 9,Cell 15,Cell 20,Cell 28,Cell 31,Cell 39,Cell 40,Cell 41,Cell 58,Cell 59
105.33985,44.68387,26.608482,49.60693,36.906517,309.97763,80.29063,528.40186,128.1114,196.3692,46.56536,36.924007
100.22865,43.88387,26.376932,45.942764,33.804424,356.01077,76.43831,489.14383,122.78723,184.31375,65.83981,36.924007
95.38385,43.1385,26.157457,42.541073,67.82241,330.95523,72.87727,452.1838,117.77325,172.96568,63.497017,36.924007
90.791565,42.444035,25.949427,86.516014,62.22312,307.03854,69.58547,417.38712,113.051384,162.2835,61.310997,46.185257
170.67857,41.796997,25.752247,86.19227,57.076107,284.20895,66.542564,384.62726,108.60462,152.2281,59.27125,45.802334
162.16183,41.194153,25.565348,79.9074,52.344837,397.74704,63.72973,353.78494,104.41694,142.76274,67.451675,45.43524
154.08899,40.632477,25.388195,81.01561,47.99573,370.79446,61.12957,324.74792,100.473236,133.85278,80.25813,45.083332
146.43692,40.10916,25.22028,75.101555,43.99792,345.067,58.726,297.41055,96.75929,125.46564,76.950485,44.74597
139.18369,39.621586,25.061123,69.611145,40.32303,320.50888,56.504166,344.42136,93.26173,117.57063,73.86418,44.422558
132.30849,39.167305,24.910265,64.51402,36.944973,297.06702,54.450325,315.93243,89.96793,110.13888,71.50442,44.11252
125.79165,38.744053,24.767273,59.78202,33.839775,274.69064,52.551765,289.11108,86.86604,103.14321,68.78255,43.8153
119.61447,38.349705,24.631739,55.388985,30.985397,253.33134,50.79676,354.5066,83.94487,96.558044,66.24283,43.530365
113.759254,37.98229,24.503273,51.310635,28.361578,232.94292,49.174446,325.42734,81.19389,90.35927,63.87306,43.257214
108.20922,37.639965,24.381504,47.52443,25.949694,280.6306,47.674797,298.0502,78.60318,84.52422,61.661873,42.995358
102.94846,37.32102,24.266087,44.009438,23.732628,268.1899,46.288532,272.27554,76.163414,79.031555,64.55715,42.744328
97.96191,37.023857,24.156689,40.746235,21.694643,247.12608,45.00708,311.58725,73.86579,73.86119,62.30018,42.503677
93.23525,36.74699,24.052996,37.71678,19.821274,227.01971,43.82252,421.66025,71.70203,101.808586,60.194244,42.272976
88.75496,36.489033,23.954708,34.90434,18.099224,207.82721,42.727524,388.65018,69.66434,95.30173,72.60427,42.051815
84.50819,36.248688,23.861547,32.293358,16.516272,189.5071,41.715317,357.57242,67.74535,89.17667,69.8088,41.839798
80.48276,36.02476,78.57904,29.86941,15.06118,172.01965,40.77964,355.8835,65.93817,83.41101,67.2004,41.636547
76.66714,35.816124,75.63733,27.619093,13.723622,155.3271,39.91471,326.72366,64.23628,77.98367,64.766556,41.441696
73.05039,35.62174,72.84902,103.360344,12.494104,139.39323,39.11518,299.27066,62.633553,72.87479,62.495575,41.254906
69.62216,35.440624,70.20612,95.84568,11.363899,321.44864,38.3761,338.33142,61.12419,68.0657,60.376568,41.07584
66.37261,35.271885,67.70104,88.86931,10.3249855,297.96405,37.692898,334.02255,59.70277,63.538784,58.39936,40.904175
63.29243,35.11467,65.3266,82.39268,9.369988,275.5469,37.061356,306.1423,58.364162,59.277504,56.554462,40.73961
60.372795,34.968185,63.07598,76.37998,8.49213,254.14871,36.477562,279.89398,102.46321,55.266254,54.833023,40.581844
57.605335,34.831707,60.942726,70.79799,7.685181,233.72311,35.93791,255.18205,98.63333,51.490383,53.226776,40.430607
