Cell 20,Cell 39,Cell 41,Cell 48,Cell 53,Cell 54,Cell 62,Cell 64,Cell 74,Cell 84
519.6107,-16.140812,964.98724,75.222206,49.626408,-15.960404,53.154987,239.33438,55.280434,115.842545
494.07233,-16.140812,1329.3224,75.222206,49.626408,-15.960404,53.154987,233.8524,55.280434,96.77425
469.74268,-16.140812,1253.4277,75.222206,49.626408,-15.960404,53.154987,228.68512,55.280434,78.920364
446.5646,-16.140812,1182.0994,75.222206,49.626408,-15.960404,53.154987,223.81448,55.280434,62.203533
424.48358,-16.140812,1115.0625,75.222206,49.626408,-15.960404,53.154987,219.22345,55.280434,46.55137
403.4477,-16.140812,1459.7188,75.222206,49.626408,-15.960404,53.154987,214.896,55.280434,31.896032
383.40747,-16.140812,1375.9788,75.222206,49.626408,-15.960404,53.154987,210.81697,55.280434,18.17404
364.3158,-16.140812,1297.2771,75.222206,49.626408,-15.960404,53.154987,206.97209,55.280434,5.3259687
346.12778,-16.140812,1223.3102,75.222206,49.626408,-15.960404,53.154987,203.34795,55.280434,-6.7038455
328.80063,-16.140812,1153.794,75.222206,49.626408,-15.960404,53.154987,333.80524,55.280434,-17.967514
312.29358,-16.140812,1088.46,75.222206,49.626408,-15.960404,53.154987,322.8999,55.280434,131.73344
296.56784,-16.140812,1195.8563,75.222206,49.626408,-15.960404,53.154987,312.62067,55.280434,144.31773
281.58643,-16.140812,1233.5948,75.222206,49.626408,-15.960404,53.154987,302.9315,55.280434,123.43592
267.31412,-16.140812,1163.4597,75.222206,49.626408,-15.960404,53.154987,293.79858,55.280434,103.88403
253.71735,-16.140812,1097.5443,75.222206,49.626408,-15.960404,53.154987,319.31155,55.280434,85.57732
240.76413,-16.140812,1035.5946,75.222206,49.626408,-15.960404,53.154987,309.23825,55.280434,68.43652
228.42401,-16.140812,1223.8799,75.222206,49.626408,-15.960404,53.154987,299.7433,55.280434,52.387375
263.92462,-16.140812,1170.3654,75.222206,49.626408,-15.960404,53.154987,290.7934,55.280434,37.36035
250.48828,-16.140812,1104.0343,75.222206,49.626408,-15.960404,53.154987,282.3573,55.280434,78.63186
314.9053,-16.140812,1252.0989,75.222206,49.626408,-15.960404,53.154987,274.40546,55.280434,61.9334
305.56918,-16.140812,1180.8505,75.222206,49.626408,-15.960404,53.154987,266.91016,55.280434,46.29842
290.16174,-16.140812,1113.8887,75.222206,49.626408,-15.960404,53.154987,259.84512,55.280434,31.659184
543.1062,-16.140812,1050.9557,75.222206,49.626408,-15.960404,53.154987,253.18568,55.280434,125.29305
516.4557,-16.140812,1227.1027,75.222206,49.626408,-15.960404,53.154987,246.90852,55.280434,170.40666
491.06662,-16.140812,1157.3582,75.222206,49.626408,-15.960404,53.154987,240.99174,55.280434,147.86333
466.87924,-16.140812,1091.8098,75.222206,49.626408,-15.960404,53.154987,235.41461,55.280434,126.755714
443.8367,-16.140812,1030.2052,75.222206,49.626408,-15.960404,53.154987,230.15765,55.280434,131.25108
421.8848,-16.140812,972.30707,75.222206,49.626408,-15.960404,53.154987,225.20248,55.280434,111.201454
400.97192,-16.140812,917.8924,75.222206,49.626408,-15.960404,53.154987,220.53178,55.280434,92.428764
381.0489,-16.140812,866.7516,75.222206,49.626408,-15.960404,53.154987,216.12921,55.280434,74.8516
362.06885,-16.140812,818.6877,75.222206,49.626408,-15.960404,53.154987,211.97937,55.280434,58.393913
343.98715,-16.140812,773.51556,75.222206,49.626408,-15.960404,53.154987,208.06778,55.280434,42.984352
326.76132,-16.140812,731.0613,75.222206,49.626408,-15.960404,53.154987,204.38072,55.280434,28.556185
310.3508,-16.140812,691.16125,75.222206,49.626408,-15.960404,53.154987,200.90535,55.280434,15.046909
294.717,-16.140812,754.176,75.222206,49.626408,-15.960404,53.154987,197.62947,55.280434,2.397992
371.2409,-16.140812,763.0543,75.222206,49.626408,-15.960404,53.154987,194.54166,55.280434,-9.445342
352.7251,-16.140812,926.956,75.222206,49.626408,-15.960404,53.154987,191.63112,55.280434,199.59938
335.08566,-16.140812,875.2699,75.222206,49.626408,-15.960404,53.154987,188.88765,55.280434,175.19685
