Cell 0,Cell 10,Cell 11,Cell 32,Cell 37,Cell 41,Cell 44,Cell 54
81.66803,163.05455,68.24983,67.23804,80.68958,161.338,37.122902,101.91405
81.66803,157.14111,68.24983,67.23804,80.68958,144.34111,37.122902,110.42434
81.66803,151.5553,68.24983,67.23804,80.68958,128.47234,37.122902,107.057686
81.66803,146.27896,68.24983,67.23804,80.68958,335.9206,37.122902,103.89213
81.66803,141.29495,68.24983,67.23804,80.68958,477.94672,37.122902,100.915665
81.66803,136.58708,68.24983,67.23804,80.68958,439.9367,37.122902,98.11701
81.66803,132.14005,68.24983,67.23804,80.68958,404.44937,37.122902,95.48551
81.66803,127.9394,68.24983,67.23804,80.68958,371.31732,37.122902,93.01122
81.66803,235.08481,68.24983,67.23804,80.68958,340.38425,37.122902,90.68472
81.66803,225.18059,68.24983,67.23804,80.68958,311.50418,37.122902,88.49721
81.66803,215.8251,68.24983,67.23804,80.68958,284.54086,37.122902,86.44036
81.66803,206.98795,68.24983,67.23804,80.68958,469.31232,37.122902,84.50637
81.66803,198.64041,68.24983,67.23804,80.68958,431.87537,37.122902,82.68791
81.66803,190.75536,68.24983,67.23804,80.68958,544.4028,37.122902,80.97808
81.66803,183.30717,68.24983,67.23804,80.68958,501.98218,37.122902,79.37038
81.66803,176.27165,68.24983,67.23804,80.68958,462.37695,37.122902,77.85871
81.66803,311.06744,68.24983,67.23804,80.68958,425.40027,37.122902,179.85124
81.66803,296.9535,68.24983,67.23804,80.68958,390.87772,37.122902,172.33739
81.66803,283.6215,68.24983,67.23804,80.68958,358.64642,37.122902,165.27238
81.66803,271.02814,68.24983,67.23804,80.68958,328.5543,37.122902,158.62938
81.66803,259.1325,68.24983,67.23804,80.68958,300.45935,37.122902,152.38322
81.66803,247.89595,68.24983,67.23804,80.68958,274.22906,37.122902,168.51855
81.66803,237.28194,68.24983,67.23804,80.68958,249.7397,37.122902,161.68164
81.66803,227.25598,68.24983,67.23804,80.68958,318.3259,37.122902,213.12038
81.66803,217.7855,68.24983,67.23804,80.68958,290.90982,37.122902,203.6192
81.66803,208.83974,68.24983,67.23804,80.68958,325.99542,37.122902,194.68558
81.66803,200.3896,68.24983,67.23804,80.68958,323.1742,37.122902,186.2856
81.66803,192.40764,68.24983,67.23804,80.68958,295.43634,37.122902,178.3874
81.66803,184.8679,68.24983,67.23804,80.68958,269.53943,37.122902,170.961
81.66803,177.74591,68.24983,67.23804,80.68958,245.36131,37.122902,163.97818
81.66803,171.01851,68.24983,67.23804,80.68958,222.78786,37.122902,157.4125
81.66803,164.66382,68.24983,67.23804,80.68958,201.7126,37.122902,151.23903
81.66803,158.66121,68.24983,67.23804,80.68958,182.03609,37.122902,145.43431
81.66803,152.99118,68.24983,67.23804,80.68958,163.66548,37.122902,139.97635
81.66803,147.63528,68.24983,67.23804,80.68958,146.51414,37.122902,166.48686
81.66803,142.57613,68.24983,67.23804,80.68958,432.6443,37.122902,159.77132
81.66803,137.79727,68.24983,67.23804,80.68958,397.64096,37.122902,153.45692
81.66803,133.28317,68.24983,67.23804,80.68958,539.2969,37.122902,147.51973
81.66803,129.01918,68.24983,67.23804,80.68958,497.21515,37.122902,141.93721
81.66803,124.99145,68.24983,67.23804,80.68958,457.92627,37.122902,136.68813
81.66803,121.18685,68.24983,67.23804,80.68958,421.245,37.122902,131.75261
81.66803,117.59304,68.24983,67.23804,80.68958,386.99823,37.122902,127.111916
81.66803,114.19836,68.24983,67.23804,80.68958,355.0244,37.122902,122.74843
81.66803,110.99174,68.24983,67.23804,80.68958,325.17267,37.122902,118.64559
81.66803,107.96279,68.24983,67.23804,80.68958,297.3022,37.122902,114.787834
81.66803,105.10166,68.24983,67.23804,80.68958,288.64645,37.122902,111.16053
81.66803,102.39904,68.24983,67.23804,80.68958,263.2002,37.122902,107.749886
81.66803,99.84616,68.24983,67.23804,80.68958,239.4428,37.122902,104.542984
81.66803,97.434715,68.24983,67.23804,80.68958,217.26216,37.122902,101.52765
81.66803,95.15688,68.24983,67.23804,80.68958,196.55363,37.122902,98.69243
81.66803,93.00525,68.24983,67.23804,80.68958,401.19824,37.122902,98.33908
81.66803,90.972824,68.24983,67.23804,80.68958,368.28198,37.122902,95.694336
81.66803,89.053,68.24983,67.23804,80.68958,337.55035,37.122902,108.398
