Cell 9,Cell 21,Cell 61,Cell 63,Cell 76
2.5349112,159.02777,-9.533905,71.114,62.768555
2.5269423,150.33817,-9.547294,71.112015,58.208725
2.5194044,142.02068,-9.560037,71.11012,53.88532
2.5122745,134.05936,-9.5721655,71.10832,49.786076
2.5055306,126.43895,-9.58371,71.10661,45.899384
2.4991515,119.14487,-9.594697,71.10499,42.214203
2.4931176,112.16313,-9.605155,71.10345,38.720104
2.4874103,105.48036,-9.6151085,71.101974,35.40717
2.4820118,99.08377,-9.624583,71.10058,32.266006
2.4769053,92.96109,-9.6336,71.09925,29.287712
2.4720752,87.1006,-9.642183,71.097984,26.463835
2.4675066,81.491066,-9.650352,71.09679,23.786377
2.4631853,196.98486,-9.658127,71.09564,21.24774
2.4590976,186.66986,-9.665527,71.09456,18.84073
2.4552312,176.79657,-9.672571,71.09352,16.558521
2.451574,167.34607,-9.679275,71.09254,14.394648
2.4481149,244.56746,-9.685656,71.091606,12.342967
2.4448428,232.21489,-9.691729,71.09072,10.397665
2.441748,220.39128,-9.69751,71.089874,8.553225
2.4388204,209.07397,-9.7030115,71.08907,6.804418
2.4360514,198.2413,-9.708248,71.08831,5.1462846
2.433432,187.8725,-9.713232,71.087585,3.574125
2.4309547,177.94771,-9.717977,71.08689,2.083479
2.4286113,168.44792,-9.722491,71.086235,0.67012155
2.4263947,159.35493,-9.726789,71.08561,-0.66995317
2.424298,249.17064,-9.73088,71.08502,-1.9405465
2.4223146,236.62093,-9.734773,71.08446,-3.1452596
2.4204388,224.60863,-9.738479,71.083916,-4.2875094
2.4186645,244.28798,-9.742005,71.08341,-5.3705373
2.4169862,438.06982,-9.745362,71.082924,-6.3974085
2.4153986,417.4311,-9.748558,71.082466,-7.371037
2.413897,397.67615,-9.751598,71.08202,-8.294186
2.4124768,378.76715,-9.754494,71.081604,-9.169467
2.4111333,360.66785,-9.757248,71.08121,-9.999368
2.4098625,390.10114,-9.759871,71.08083,-10.786239
2.4086604,558.82825,-9.762366,71.080475,-11.5323105
2.4075234,533.0184,-9.764742,71.08013,-12.239699
2.406448,508.31372,-9.767003,71.07981,-12.910411
2.4054308,484.667,-9.769155,71.079506,-13.546347
2.4044685,462.03284,-9.771203,71.07921,-14.149309
2.4035585,440.36798,-9.773152,71.07893,-14.721009
2.4026976,419.6308,-9.775008,71.07867,-15.263067
2.4018831,399.78168,-9.776773,71.078415,-15.7770195
2.401113,380.78247,-9.778455,71.07818,-16.264322
2.4003844,362.59692,-9.780055,71.07795,-16.726362
2.3996954,345.19006,-9.781577,71.07773,-17.164444
2.3990436,328.52863,-9.783027,71.07752,-17.57981
2.398427,312.5807,-9.784407,71.07733,-17.973642
2.3978438,297.3156,-9.78572,71.07714,-18.347054
2.3972921,282.70428,-9.786969,71.076965,-18.701101
2.3967702,268.71857,-9.788158,71.0768,-19.036795
2.3962767,255.3318,-9.78929,71.07664,-19.355083
2.39581,242.51826,-9.790368,71.076485,-19.656868
2.3953683,230.25343,-9.791394,71.07634,-19.943005
2.3949506,218.51381,-9.79237,71.0762,-20.214306
2.3945556,207.2769,-9.7933,71.07607,-20.47154
2.394182,196.52118,-9.794184,71.07595,-20.715437
2.3938284,186.22603,-9.795025,71.07583,-20.94669
2.3934941,176.37175,-9.795827,71.075714,-21.165949
2.393178,166.93945,-9.796589,71.07561,-21.373844
2.3928788,157.91106,-9.797315,71.07551,-21.570955
2.3925958,149.26927,-9.798005,71.07541,-21.757849
2.392328,140.99754,-9.798663,71.07532,-21.935051
2.392075,133.08003,-9.799289,71.07523,-22.103065
2.3918355,125.50157,-9.799885,71.07515,-22.262371
2.391609,118.247635,-9.800451,71.075066,-22.413416
2.3913949,111.30432,-9.800991,71.075,-22.55663
2.3911922,104.65834,-9.801504,71.07492,-22.692413
2.3910005,98.29695,-9.801993,71.07485,-22.821161
2.390819,92.20796,-9.802459,71.07479,-22.943233
2.3906476,86.379715,-9.802901,71.07473,-23.058975
2.3904855,80.80105,-9.803323,71.07467,-23.168716
2.390332,75.46127,-9.803724,71.074615,-23.272764
2.3901868,70.35016,-9.804106,71.07456,-23.371422
2.3900497,65.45791,-9.804469,71.07451,-23.464962
2.3899198,60.775154,-9.804815,71.07446,-23.553654
2.389797,56.29293,-9.805144,71.07442,-23.637745
2.3896806,52.00264,-9.805457,71.07438,-23.717478
2.389571,47.896072,-9.805756,71.07433,-23.793076
2.389467,43.965355,-9.80604,71.074295,-23.864754
2.3893685,40.202957,-9.80631,71.07426,-23.932714
2.3892756,36.601677,-9.806567,71.07423,-23.997154
2.3891876,33.15461,-9.806811,71.07419,-24.05825
2.3891044,29.855148,-9.807045,71.07416,-24.116179
2.3890257,26.696976,-9.807266,71.07413,-24.171104
2.3889513,23.674042,-9.807478,71.0741,-24.223183
2.3888807,20.780556,-9.807678,71.07407,-24.27256
2.3888142,18.010979,-9.80787,71.07404,-24.319378
2.3887513,15.360001,-9.808051,71.07402,-24.363768
2.3886917,12.82254,-9.808225,71.074,-24.405857
2.3886352,10.393742,-9.80839,71.073975,-24.445763
2.388582,8.068947,-9.808546,71.07395,-24.483599
2.3885314,5.843704,-9.808696,71.07393,-24.519472
2.3884838,3.7137527,-9.808838,71.07391,-24.55349
2.3884387,1.6750107,-9.808973,71.0739,-24.585741
2.388396,-0.27642822,-9.809102,71.073875,-24.61632
2.3883557,-2.1443024,-9.809225,71.07386,-24.645313
2.3883173,-3.93219,-9.809341,71.073845,-24.672804
2.3882813,-5.6435165,-9.809452,71.07383,-24.69887
2.3882473,-7.281563,-9.809558,71.073814,-24.723583
2.3882148,-8.849464,-9.809659,71.0738,-24.747013
2.3881843,-10.350224,-9.809754,71.07379,-24.769232
2.3881555,-11.78672,-9.809845,71.07378,-24.790298
2.388128,-13.161701,-9.809932,71.07377,-24.81027
2.388102,59.522255,-9.810015,71.07375,-24.829206
2.3880777,85.247025,-9.810093,71.073746,-24.847162
2.3880546,79.716866,-9.810168,71.07373,-24.864187
2.3880327,74.423515,-9.810239,71.07372,-24.880331
2.388012,69.35684,-9.810307,71.073715,-24.895636
2.3879924,64.50713,-9.810371,71.07371,-24.910147
2.3879738,59.865097,-9.810432,71.0737,-24.923904
2.3879564,55.421844,-9.810492,71.07369,-24.93695
2.3879397,51.168854,-9.810547,71.073685,-24.94932
2.387924,47.097992,-9.810599,71.07368,-24.961048
2.3879092,43.201447,-9.81065,71.07367,-24.972168
2.387895,39.471764,-9.8106985,71.07366,43.906536
2.387882,35.901794,-9.810743,71.073654,40.32469
2.3878694,32.484695,-9.810787,71.073654,110.54659
2.3878574,29.21392,-9.810828,71.07365,103.50952
2.3878462,26.083206,-9.810867,71.07364,96.8373
2.3878357,23.086555,-9.810905,71.07364,90.51104
2.3878257,20.218231,-9.810941,71.07363,84.51279
2.3878162,17.472733,-9.810975,71.07362,78.82554
2.3878071,14.844803,-9.8110075,71.07362,73.43317
2.3877985,12.329407,-9.811038,71.073616,68.32039
2.3877907,9.921722,-9.811067,71.073616,63.472706
2.387783,7.6171417,-9.811095,71.07361,58.876373
2.387776,5.4112473,-9.811121,71.07361,54.51834
2.387769,3.2998161,-9.811147,71.0736,50.38628
2.3877625,1.2787971,-9.811171,71.0736,46.468468
2.3877563,-0.6556778,-9.811193,71.0736,42.753777
2.3877506,-2.5073128,-9.811215,71.07359,39.2317
2.3877451,-4.2796555,-9.811235,71.07359,35.89224
2.3877401,-5.9761047,-9.811255,71.07359,32.725925
2.3877351,-7.599907,-9.811275,71.073586,29.723783
2.3877306,12.928589,-9.811293,71.073586,26.877298
2.3877263,181.80025,-9.811309,71.073586,24.178404
2.387722,172.13548,-9.811325,71.07358,21.619444
2.3877182,162.88458,-9.81134,71.07358,19.193163
2.3877146,154.02983,-9.811356,71.07358,16.892685
2.387711,145.55424,-9.811369,71.07358,14.711481
2.3877077,137.4416,-9.811382,71.07357,12.643374
2.3877046,129.67636,-9.811396,71.07357,10.682495
2.3877017,122.24365,-9.811407,71.07357,8.823286
2.387699,115.12923,-9.811419,71.07357,7.0604777
2.3876963,108.31944,-9.81143,71.07357,5.389068
2.3876936,267.78778,-9.8114395,71.07356,3.804319
2.3876913,254.44084,-9.81145,71.07356,2.301738
2.387689,297.10333,-9.81146,71.07356,0.8770653
2.387687,282.50104,-9.811468,71.07356,-0.47373977
2.387685,268.5241,-9.811477,71.07356,-1.754507
2.3876832,255.14565,-9.811484,71.07356,-2.9688656
2.3876812,242.34007,-9.811492,71.07356,-4.1202607
2.3876796,230.08287,-9.8115,71.073555,-5.21196
2.387678,218.35054,-9.811506,71.073555,-6.2470527
2.3876765,207.12062,-9.811513,71.073555,-7.2284784
2.387675,196.37158,-9.81152,71.073555,-8.159019
2.3876736,186.08284,-9.811525,71.073555,-9.04131
2.3876724,176.23468,-9.811531,71.073555,-9.877855
2.3876712,166.80824,-9.811537,71.073555,-10.671026
2.38767,157.78546,-9.8115425,71.073555,-11.423072
2.387669,149.14906,-9.811547,71.073555,-12.136125
2.387668,140.88249,-9.811552,71.073555,-12.812206
2.387667,132.96991,-9.811556,71.07355,-13.453234
2.387666,125.396164,-9.811561,71.07355,-14.061025
2.3876653,118.14674,-9.811564,71.07355,-14.637301
2.3876643,111.20775,-9.811568,71.07355,-15.1837
2.3876636,104.5659,-9.811572,71.07355,-15.701767
2.387663,98.208466,-9.811576,71.07355,-16.192972
2.3876622,92.123276,-9.811579,71.07355,-16.658709
2.3876615,86.29866,-9.811582,71.07355,-17.100298
2.387661,80.723465,-9.811585,71.07355,-17.518993
2.3876603,75.38701,-9.811588,71.07355,-17.915977
2.3876598,70.279076,-9.81159,71.07355,-18.292377
2.3876593,65.38987,-9.811593,71.07355,-18.649263
2.3876588,60.71003,-9.811596,71.07355,-18.987644
2.3876584,56.23059,-9.811598,71.07355,-19.30848
2.3876579,51.94297,-9.811601,71.07355,-19.61268
2.3876574,47.83896,-9.811603,71.07355,-19.901108
2.387657,43.910683,-9.8116045,71.07355,-20.174583
2.3876567,40.150627,-9.811606,71.07355,-20.433876
2.3876562,36.551582,-9.811608,71.07355,-20.679726
2.387656,33.10666,-9.81161,71.07355,-20.91283
2.3876555,470.71954,-9.811612,71.07355,-21.133846
2.3876553,448.68268,-9.811613,71.07354,-21.343403
2.387655,427.58948,-9.811615,71.07354,-21.542095
2.3876548,407.39954,-9.811616,71.07354,-21.730486
2.3876545,388.07416,-9.811618,71.07354,-21.909107
2.3876543,369.5763,-9.811619,71.07354,-22.078466
2.387654,351.8706,-9.81162,71.07354,-22.239046
2.3876538,334.9231,-9.811622,71.07354,-22.391298
2.3876536,318.7013,-9.811623,71.07354,-8.342126
