Cell 0,Cell 4,Cell 5,Cell 7,Cell 9,Cell 16,Cell 17,Cell 19,Cell 25,Cell 30,Cell 38,Cell 39,Cell 47,Cell 49,Cell 56
56.408688,27.29514,47.003326,72.7391,128.00354,139.77795,38.226295,1074.6874,33.633568,30.513922,149.34262,54.377235,20.657804,31.44085,31.573927
54.515938,27.29514,47.003326,69.67088,119.56594,170.84903,37.130924,1005.0473,33.53199,30.139168,141.40529,54.129005,20.409496,31.336807,30.277565
52.733997,27.29514,47.003326,66.78412,111.83104,158.48888,36.102448,938.9992,33.4383,29.788671,133.90897,53.895947,20.178263,31.239067,29.085804
51.05637,27.29514,47.003326,64.068054,104.74031,146.96599,35.136772,876.3578,33.3519,29.460863,147.99811,53.677135,19.962927,31.147243,27.990206
49.476955,27.29514,47.003326,61.512596,98.240105,136.22365,34.23007,816.94727,33.272205,29.154276,140.13547,53.4717,19.762398,31.060982,26.983007
47.989994,27.29514,47.003326,59.10826,92.281235,126.20899,33.37873,760.60095,33.198704,28.867535,132.70969,53.278816,19.575657,30.979942,26.057081
46.59009,27.29514,47.003326,56.8461,86.81863,116.8727,32.579384,707.1609,33.130917,28.599356,125.69649,53.09773,19.401754,30.903812,25.205866
45.272137,27.29514,47.003326,54.717712,81.81094,108.16883,31.82885,656.4771,33.068394,28.348537,119.07295,52.927704,19.239809,30.83229,145.315
44.031338,27.29514,47.003326,52.715187,77.22032,100.054565,31.124146,608.40753,33.01073,28.113955,112.81743,52.768074,19.088999,30.7651,134.84108
42.863174,27.29514,47.003326,50.831074,73.011986,92.489944,30.462475,562.8174,32.95755,27.894558,106.90947,52.618202,18.948559,30.70198,125.21227
41.763397,27.29514,47.003326,49.05838,69.154144,85.437744,29.841211,519.5786,32.908497,27.689362,101.329765,52.47749,18.817774,30.642681,116.360405
40.728,27.29514,47.003326,47.390514,65.61757,78.86324,29.257885,478.56998,32.86326,27.49745,96.060074,52.34538,18.695982,30.586973,108.22278
39.75322,27.29514,47.003326,45.821274,62.375534,72.7341,28.71018,439.67648,32.821537,27.317963,91.083176,52.221344,18.582565,30.53464,100.74176
38.835506,27.29514,47.003326,44.34483,59.403496,67.020134,28.19592,503.3058,32.783054,27.150091,86.3828,52.10489,18.476946,30.485474,93.86437
37.971516,27.29514,47.003326,42.955696,56.678967,61.693226,27.713066,463.1364,32.747562,26.993088,81.94358,51.995552,18.378588,100.60339,87.54191
37.1581,27.29514,47.003326,41.648705,54.181343,56.727154,27.259697,425.03897,32.714832,26.846249,162.82198,51.8929,18.286993,96.31114,81.72959
36.392307,27.29514,47.003326,40.419003,51.891724,52.097473,26.834013,484.4251,32.684643,26.708916,204.95189,51.79652,18.201696,92.27881,76.38626
100.312675,27.29514,47.003326,39.26202,49.79278,47.781406,26.434324,445.22958,32.656796,26.580471,193.92484,51.70603,18.122265,90.153305,71.474075
95.84974,27.29514,47.003326,38.17345,47.86864,43.757706,26.059042,408.05576,32.631115,26.460342,183.51045,51.62108,18.048294,93.387695,66.958244
91.64806,27.29514,47.003326,37.149258,194.44528,40.006565,25.706676,372.7993,32.607433,26.347988,173.67471,51.541313,17.979408,89.532394,62.806786
87.69236,27.29514,47.003326,36.185627,180.47438,36.50952,25.37583,339.36124,32.585587,26.242908,164.38545,51.466423,17.91526,85.91055,58.990303
91.961754,27.29514,47.003326,35.278976,167.66698,33.249363,25.065186,307.64786,32.56544,26.14463,155.61232,51.396114,17.855522,82.50804,55.481766
87.987686,27.29514,47.003326,34.425945,155.9262,34.383644,24.773512,277.57022,32.54686,26.052715,147.32663,51.3301,23.344404,79.31157,52.256325
84.24627,27.29514,47.003326,33.623356,145.1632,44.451435,24.49965,249.04393,32.52972,25.96675,139.5013,51.26812,22.911375,76.30866,49.291138
80.72387,27.29514,47.003326,32.86823,135.29654,40.6533,24.24251,300.95584,32.513916,25.886347,132.11075,51.20993,22.508118,73.487595,46.56521
77.407684,27.29514,47.003326,32.157753,126.25158,37.11245,24.001074,287.19943,32.499336,25.811152,125.13083,51.155296,22.13259,70.83737,44.059227
74.28563,27.29514,47.003326,31.48929,117.95989,33.81145,23.774384,258.17648,32.48589,25.740824,118.53873,51.104004,21.782879,68.347626,41.75545
71.346344,27.29514,47.003326,30.860357,110.35875,30.734058,23.561533,230.65045,32.47349,25.675049,112.31289,51.055847,21.457216,66.00865,39.63756
68.57913,27.29514,47.003326,30.268618,103.39063,116.10349,23.361681,204.54414,32.462055,25.61353,172.6617,51.01063,21.153944,63.811317,37.690563
65.973915,27.29514,47.003326,29.711866,97.00282,107.45174,23.174034,179.78436,32.451508,25.555994,163.42873,50.968178,20.871523,61.747047,35.90066
63.52121,27.29514,47.003326,100.46902,243.58786,99.38605,22.997845,156.30164,32.441776,25.502182,154.70874,50.92832,20.60852,59.807777,133.48383
61.212082,27.29514,47.003326,95.76102,225.52432,91.86671,22.832415,134.0301,32.432804,25.451855,146.47325,50.890903,20.363602,57.985947,123.96452
59.03814,27.29514,47.003326,91.33142,208.96513,84.85672,22.677088,112.90726,32.42453,25.404783,161.67787,50.85577,20.135523,56.274437,115.21333
56.991467,27.29514,47.003326,87.16377,193.785,78.32158,22.531244,92.8739,32.416897,25.360762,153.05518,50.822784,19.923126,54.66657,107.16826
55.0646,27.29514,47.003326,157.39384,179.86908,72.22912,22.394308,73.87385,32.40986,25.319588,144.91156,50.791813,19.725334,53.156067,99.77233
144.48051,27.29514,47.003326,149.31964,167.11209,66.549355,22.265734,55.85377,32.403366,25.28108,137.22041,50.762737,19.541142,51.737038,92.97317
137.43195,27.29514,47.003326,141.7229,155.41751,61.254337,22.145012,50.59476,32.397377,25.245064,129.95659,50.73544,19.369612,50.40394,86.72261
130.79599,27.29514,47.003326,134.57538,144.69687,56.318005,22.03166,33.775375,32.391853,25.21138,123.09636,50.70981,19.209877,49.151566,80.9764
124.54853,27.29514,47.003326,127.850525,134.86906,51.71604,21.925232,17.823456,32.38676,25.179878,116.617294,50.68574,19.061125,47.97503,75.69385
118.666794,27.29514,47.003326,121.523346,125.859695,47.42581,21.825302,2.6943367,32.382065,25.150414,184.12123,50.66315,18.922602,46.869743,70.837524
113.12939,27.29514,47.003326,115.57032,117.60065,43.426197,21.731474,-11.654447,32.37773,25.122856,174.25156,50.641937,18.793602,45.831387,71.205444
107.916145,27.29514,47.003326,109.96932,110.02942,39.69751,21.643377,-25.26317,32.373734,25.097084,170.06377,50.62202,18.673471,44.85591,66.71129
103.00809,27.29514,47.003326,104.69953,103.08873,36.2214,21.56066,-38.16997,32.37005,25.072979,171.35378,50.603325,18.561602,43.939503,62.579758
98.38736,27.29514,47.003326,115.1167,96.72607,32.98076,21.482992,-50.411068,32.36665,25.050436,162.19347,50.58577,18.457424,43.07859,58.781593
124.21454,27.29514,47.003326,109.54253,90.89329,29.959635,21.410069,-62.020798,32.363514,25.029352,153.54211,50.569286,18.360409,42.269814,55.289894
169.2707,27.29514,47.003326,104.29797,85.54627,27.143154,21.341599,-73.031715,32.360622,25.00963,145.37144,100.285034,18.270063,41.510014,52.079933
160.77089,27.29514,47.003326,99.363556,80.644554,24.517466,41.11365,13.163733,32.357956,24.991186,192.16501,97.23075,18.18593,40.796223,49.12898
152.76866,27.29514,47.003326,94.72093,76.15106,22.069633,39.841965,-1.725064,32.3555,24.973938,181.8484,94.36317,18.107582,40.125656,46.41613
145.2349,27.29514,47.003326,118.29682,92.377014,19.787617,38.647934,-15.845921,32.35323,24.957806,172.10501,91.67086,18.034622,39.495697,43.92218
138.14215,27.29514,47.003326,112.53459,86.906425,17.66018,37.526817,-29.23845,32.35114,24.942719,197.739,89.14312,17.966677,38.903885,41.629463
131.46463,27.29514,47.003326,107.113106,81.89143,15.676852,36.474163,69.69431,32.34921,24.928604,187.1127,141.32875,17.903404,43.341576,39.52174
125.178024,27.29514,47.003326,189.42162,77.2941,13.827874,35.48579,51.889816,32.347427,24.915407,177.07681,135.76575,17.844482,42.516872,37.584084
119.25944,27.29514,47.003326,179.45348,73.07963,23.683382,34.557774,48.865883,32.345787,24.903065,167.59853,130.54279,17.78961,41.74211,35.802773
133.69696,27.29514,47.003326,170.0748,69.21615,21.292053,33.686424,32.135647,81.03096,24.891518,158.64687,125.639046,17.738512,41.014263,34.1652
127.27966,27.29514,47.003326,161.25072,65.674416,158.41011,32.868286,16.268353,77.24642,24.880722,150.19257,121.03504,17.690928,40.330494,32.65975
121.238045,27.29514,47.003326,152.94844,62.427643,146.89256,32.10011,1.2194157,73.75596,24.870623,142.20801,116.712456,17.646614,50.08979,31.275778
115.55011,27.29514,47.003326,145.13712,59.451267,136.1552,31.378841,-13.05331,70.53672,24.861177,134.66708,112.654076,17.605349,48.856445,30.003473
110.19515,27.29514,47.003326,137.7877,56.722763,126.145164,30.701618,-26.589869,67.56763,24.852345,127.54513,108.84376,17.56692,47.69778,28.83383
105.15368,27.29514,47.003326,130.8729,153.29106,116.8132,30.06575,-39.42826,64.82925,24.844084,120.818886,105.26635,17.531132,51.622536,27.758564
100.40734,27.29514,47.003326,124.36698,142.74751,108.113365,29.468712,-51.604454,62.303642,24.836355,114.466354,101.90759,17.497807,55.6672,26.770056
95.93886,27.29514,47.003326,118.2458,208.24785,100.00285,28.908133,-63.152615,59.97429,24.82913,108.46678,98.75415,17.466772,54.096104,25.861313
91.731964,27.29514,47.003326,112.48658,193.12746,92.441734,28.381786,-74.10516,57.82594,24.82237,102.80055,95.79345,17.43787,52.620148,25.025892
87.77135,27.29514,47.003326,637.03925,179.2663,85.39279,27.88758,-84.4928,55.84452,24.81605,97.44914,93.01371,17.410957,51.23357,24.25788
84.042595,27.29514,47.003326,785.81335,171.03476,78.82135,27.423553,-94.344666,54.017067,24.810137,92.395065,90.403885,17.385895,49.930958,23.551836
80.532135,27.29514,47.003326,740.57806,159.0135,72.69503,26.987865,-103.688385,52.331615,24.804607,87.621796,87.953575,17.362555,48.70723,45.933586
77.227165,27.29514,47.003326,777.45886,147.9934,66.98372,26.578781,-112.55018,50.77713,24.799437,101.26622,85.65305,17.340818,47.557602,43.478573
74.115685,27.29514,47.003326,867.0374,137.89104,61.659275,26.194677,-81.18601,49.34343,24.7946,96.00006,83.493126,17.320578,46.477592,41.22165
71.18634,27.29514,47.003326,816.99896,128.63,56.6955,25.83403,-91.208435,48.021133,24.790075,91.0265,81.46524,17.30173,45.462982,39.146828
68.4285,27.29514,47.003326,769.9195,166.69455,52.06797,25.495407,-100.71392,46.801586,24.785845,86.32927,79.561295,17.284176,44.509815,37.239426
65.83209,27.29514,47.003326,734.7423,155.03474,47.753902,25.17746,-109.729126,45.6768,24.781887,122.38877,77.77373,17.26783,43.61437,35.485928
63.38769,27.29514,47.003326,697.0913,144.34598,43.732063,24.878931,-118.27936,44.639416,24.778189,115.94902,76.09542,17.252607,42.773148,33.87391
61.086384,27.29514,47.003326,657.1025,134.54738,39.98266,24.59863,-126.38858,43.68264,24.774727,109.867065,74.5197,17.238432,41.982864,32.391968
58.9198,27.29514,47.003326,619.4784,125.56481,36.487232,27.145857,-134.07954,42.800213,24.77149,104.12303,73.04029,17.225231,41.24044,31.029602
62.54951,27.29514,47.003326,619.2605,117.33032,33.228584,26.727125,-141.37383,41.986347,24.768461,98.69814,71.651306,17.212938,40.542973,29.77716
62.546608,27.29514,47.003326,805.15594,109.78161,30.190674,26.333963,-148.29189,41.23573,24.765629,171.06352,70.34723,17.20149,39.88774,28.625778
60.294544,27.29514,47.003326,758.7768,102.86156,27.35855,25.96481,-154.85312,40.54343,24.762981,161.91934,69.12286,17.19083,39.27219,27.567299
