Cell 2,Cell 8,Cell 20,Cell 23,Cell 24,Cell 26,Cell 27,Cell 29,Cell 30
150.64078,132.34756,140.44125,55.78833,-12.502144,22.847816,227.04312,-86.925316,57.145866
145.47757,132.34756,140.44125,55.78833,-12.652669,22.847816,374.73688,-86.925316,57.145866
140.5444,132.34756,140.44125,55.78833,-12.796878,22.847816,355.2409,-86.925316,57.145866
135.831,132.34756,140.44125,55.78833,-12.935037,22.847816,400.60797,-86.925316,57.145866
131.32758,132.34756,140.44125,55.78833,-13.067399,22.847816,379.65,-86.925316,57.145866
127.024796,132.34756,140.44125,55.78833,-13.194207,22.847816,359.87637,-86.925316,57.145866
122.9137,132.34756,140.44125,55.78833,-13.315696,22.847816,401.9424,-86.925316,57.145866
118.98575,132.34756,140.44125,55.78833,-13.432088,22.847816,380.90903,-86.925316,57.145866
115.23278,132.34756,140.44125,55.78833,-13.543595,22.847816,361.06427,-86.925316,57.145866
111.64702,132.34756,140.44125,55.78833,-13.650426,22.847816,342.34097,-86.925316,57.145866
108.22101,132.34756,140.44125,55.78833,-13.752773,22.847816,324.67575,-86.925316,57.145866
104.947624,132.34756,140.44125,55.78833,-13.850827,22.847816,308.0088,-86.925316,57.145866
101.82007,132.34756,140.44125,55.78833,-13.944767,22.847816,292.28372,-86.925316,57.145866
98.83185,132.34756,140.44125,55.78833,-14.034765,22.847816,277.44727,-86.925316,57.145866
95.976746,132.34756,140.44125,55.78833,-14.120988,22.847816,263.4493,-86.925316,57.145866
93.24885,132.34756,140.44125,55.78833,-14.203593,22.847816,250.24234,17.757803,57.145866
90.64247,132.34756,140.44125,55.78833,-14.282733,22.847816,237.78172,12.277358,57.145866
88.152214,132.34756,140.44125,55.78833,-14.358552,22.847816,226.02527,41.032093,57.145866
85.77289,132.34756,140.44125,55.78833,-14.43119,22.847816,214.93318,34.33317,57.145866
83.49957,132.34756,140.44125,55.78833,-14.50078,22.847816,204.46793,27.98496,57.145866
81.32752,132.34756,140.44125,55.78833,-14.567451,22.847816,194.59407,21.969091,57.145866
79.25225,132.34756,140.44125,55.78833,-14.631325,22.847816,185.2782,16.268171,57.145866
77.26944,132.34756,140.44125,55.78833,-14.692518,22.847816,176.48878,10.865714,57.145866
75.37495,132.34756,140.44125,55.78833,-14.751144,22.847816,168.19608,5.7460856,57.145866
